__OBJECTID,Name of water systems,Name 2,Longitude,Latitude,Pop Served,Source Type,T/C Type,Total Site,Risk Score *Air Release/Distance^2,Risk Score *Water Release/Distance^2,Risk Score *Underground Release/Distance^2,PFAS Concentration,PFAS Detected,12-Mile Model PFAS Detected,x,y
1,Adairville Water Works,ADAIRVILLE WATER WORKS,-86.858123,36.662657,787,SW,C,1,2459.189192,0,0,,,N,-86.8581229674853,36.6626570271747
2,Allen County Water District,ALLEN COUNTY WATER DISTRICT,-86.2133532,36.7552186,14999,SW,C,1,0,0,0,,,N,-86.2133532197212,36.7552186201027
3,Arlie Bogg Elementary School,ARLIE BOGG ELEMENTARY SCHOOL,-82.836472,37.12065,200,GW,T,0,0,0,0,,,N,-82.8364719806749,37.1206499966151
4,Arlington Water Department,ARLINGTON WATER DEPARTMENT,-89.012556,36.789275,588,GW,T,1,6406.73891,0,0,0,N,N,-89.0125560168187,36.789274994087
5,Auburn Water Department,AUBURN MUN WATER WORKS,-86.709649,36.863367,1931,SW,C,10,108862.3678,761.6214741,0,,,N,-86.7096489681684,36.8633669827469
6,Augusta Regional WTP,AUGUSTA REGIONAL WTP,-84.0073163,38.7727278,1690,GW,T,2,65403.64561,30632.35002,0,7.31,Y,N,-84.0073162692285,38.7727278114391
7,Bardwell City Utilities,BARDWELL CITY UTILITIES,-89.011081,36.871756,1227,GW,T,1,21997.9088,0,0,,,N,-89.0110809831222,36.871755994838
8,Barlow Water System,BARLOW WATER SYSTEM,-89.040807,37.051376,1040,GW,T,2,275479.1557,0,0,1.62,Y,N,-89.0408070443575,37.0513759961667
9,Bath County Water District,BATH COUNTY WATER DISTRICT,-83.6140274,38.1199859,8955,SW,C,3,7840.906057,0,0,,,N,-83.6140273699709,38.1199858991003
10,Beaver Dam Municipal Water & Sewer System,BEAVER DAM MUNICIPAL WATER & SEWER,-83.86145,38.426987,3901,GW,T/C,1,0,0,0,0,N,N,-83.8614499893498,38.4269869794147
11,Beech Grove Water Associatio,BEECH GROVE WATER SYSTEM,-87.2773,37.575,1461,SW,C,1,0,0,0,,,N,-87.2772999657582,37.5749999943409
12,Bell county Forestry camp,BELL COUNTY FORESTRY CAMP,-83.671028,36.734807,300,SW,C,0,0,0,0,0,N,N,-83.6710279900311,36.7348069653999
13,Benton Water & Sewer System,BENTON WATER & SEWER,-88.3506745,36.8585377,7981,GW,T/C,2,172705.1619,0,0,0,N,N,-88.3506745307021,36.8585377212189
14,Big Sandy Water District,BIG SANDY WATER DISTRICT,-82.6321,38.3799,13044,SW,C,14,6220134.678,1438601.911,0,,,N,-82.632100043309,38.3799000298926
15,Birkle Water supply,BIRKLE WATER SUPPLY,-87.836366,36.862814,260,GW,T,1,11329.87972,0,0,0,N,N,-87.8363660336724,36.862814002458
16,Black Mtn Utility/Coxton,BLACK MTN UTILITY/COXTON,-83.349075,36.864965,356,SW,C,0,0,0,0,,,N,-83.3490750261377,36.8649650258536
17,Black Mtn Utility/Dayhoit,BLACK MTN UTILITY/DAYHOIT,-83.349075,36.864965,1954,SW,C,0,0,0,0,,,N,-83.3490750261377,36.8649650258536
18,Black Mtn Utility/Kenvir,BLACK MTN UTILITY/KENVIR,-83.349075,36.864965,1396,SW,C,0,0,0,0,,,N,-83.3490750261377,36.8649650258536
19,Black Mtn Utility/Louellen,BLACK MTN UTILITY/LOUELLEN,-83.349075,36.864965,520,GW,C,0,0,0,0,,,N,-83.3490750261377,36.8649650258536
20,Black Mtn Utility/Rosspoint,BLACK MTN UTILITY/ROSSPOINT,-83.349075,36.864965,1889,SW,C,0,0,0,0,,,N,-83.3490750261377,36.8649650258536
21,Black Mtn Utility/Sukey Ridge,BLACK MTN UTILITY/SUKEY RIDGE,-83.349075,36.864965,740,SW,C,0,0,0,0,,,N,-83.3490750261377,36.8649650258536
22,Black Mtn Utility/Wallins,BLACK MTN UTILITY/WALLINS,-83.349075,36.864965,1485,SW,C,0,0,0,0,,,N,-83.3490750261377,36.8649650258536
23,Bloomfield Water & Sewer Dept,BLOOMFIELD WATER & SEWER DEPT,-85.3202573,37.9130978,5771,SW,C,4,273.8268001,0,0,,,N,-85.3202573270655,37.9130978008621
24,Bluegrass Station,BLUEGRASS STATION,-84.32311,38.076447,3000,SW,C,19,63671.59003,1.065639089,0,,,N,-84.3231100242079,38.0764470283293
25,Boone County Water District,BOONE CO WATER & SEWER DISTRICT,-84.715043,39.023483,66300,SW,C,47,751013.0621,216329.1535,0,,,N,-84.7150430063756,39.0234830051734
26,Boone-Florence Water Comission,BOONE-FLORENCE WATER COMMISSION,-84.64223,38.9977285,25,SW,C,53,2783809.308,121215.3598,0,,,N,-84.6422299711897,38.9977284656648
27,Bracken County Water District,BRACKEN COUNTY WATER DISTRICT,-84.0383877,38.6681639,6456,GW,C,1,0,0,0,,,N,-84.0383877372648,38.6681638964919
28,Brandenburg water works,BRANDENBURG WATER WORKS,-86.1740632,37.9987898,4333,GW,T,1,245059.6583,867133.3682,0,8.61,Y,N,-86.1740632448136,37.9987897744523
29,Breathitt County Water District,BREATHITT CO WATER DISTRICT,-83.3846042,37.5536587,5068,SW,C,0,0,0,0,,,N,-83.3846042041083,37.5536587060418
30,Brodhead Water Works,BRODHEAD WATER WORKS,-84.41383,37.40425,1613,SW,C,0,0,0,0,,,N,-84.4138299864358,37.4042500126688
31,Bronston Water Association,BRONSTON WATER ASSOCIATON INC,-84.6238976,36.9877727,5114,SW,C,6,44935.50337,2499.666239,0,,,N,-84.6238976020291,36.9877727263536
32,Brooksville Water,BROOKSVILLE UTILITY,-84.0786,38.6644,977,GW,C,0,0,0,0,,,N,-84.0786000124746,38.6644000278416
33,Brownsville Municipal Water System,BROWNSVILLE MUNICIPAL WATER SYSTEM,-86.263313,37.1911,1441,SW,C,5,2254.485109,0,1.824252492,,,N,-86.2633130242475,37.1910999828799
34,Buffalo Trail Water Association,BUFFALO TRAIL WATER ASSOC,-83.8418974,38.5175801,4514,SW,C,3,11.68844958,0,0,,,N,-83.8418974385387,38.5175800665585
35,Burgin Water Department,BURGIN WATER DEPARTMENT,-84.7666712,37.7527946,1426,SW,C,9,572282.3356,33896.08039,0,,,N,-84.7666711620475,37.7527946012724
36,Butler County Water System,BUTLER COUNTY WATER SYSTEM INC,-86.684412,37.224731,14256,SW,T/C,2,453002.6243,314120.8746,82.79846898,,,N,-86.6844119680709,37.2247309642706
37,Butler Water works,BUTLER WATER WORKS,-86.684412,37.224731,980,SW,C,2,453002.6243,314120.8746,82.79846898,,,N,-86.6844119680709,37.2247309642706
38,Buzzard Rock Resort and Marina,BUZZARD ROCK RESORT AND MARINA,-88.143517,37.042058,150,GW,T,11,1772141.175,79176.70381,0,,,N,-88.1435170074717,37.0420579816571
39,"Caitlan& Friends, LLC","CAITLAN & FRIENDS, LLC",-84.7872,37.799048,50,GW,T,0,0,0,0,,,N,-84.7872000019094,37.7990480011275
40,Caldwell County Water District,CALDWELL COUNTY WATER DISTRICT,-87.8826308,37.1096148,6000,SW,C,3,713102.2012,10.15074061,0,,,N,-87.8826307979405,37.1096147990549
41,Calhoun Water Works,CALHOUN WATER WORKS,-87.2602684,37.5367271,966,SW,C,2,209878.3311,87.5921897,0,,,N,-87.260268357129,37.5367271023649
42,Calvert City Municipal water Department,CALVERT CITY MUNICIPAL WATER DEPARTMENT,-88.342557,37.024819,4381,GW,T/C,14,97774120.42,8087824.88,0,0,N,N,-88.3425569944687,37.0248189954936
43,Camp Michaels Dan Beard Council,CAMP MICHAELS DAN BEARD COUNCIL,-84.7427883,38.941752,50,GW,C,35,474314.2778,4048.004433,0,,,N,-84.7427882824094,38.9417520180251
44,Camp Nathaniel,CAMP NATHANIEL,-83.053648,37.351189,200,GW,T,0,0,0,0,,,N,-83.0536479651114,37.3511889904411
45,Camp Robert Webb,CAMP ROBERT C WEBB,-82.978563,38.24185,250,GW,T,1,0,67274.69966,0,,,N,-82.9785630007405,38.2418500074238
46,Camp Turnabout,CAMP TURNABOUT,-84.6617348,38.9845313,429,GW,T,49,2060630.76,110997.3326,0,,,N,-84.6617348214592,38.9845313266726
47,Caneyville Municipal Water Works,CANEYVILLE MUNICIPAL WATER WORKS,-86.485763,37.424313,2171,SW,C,1,0,69.45071449,0,,,N,-86.4857630177171,37.4243130271621
48,Cannonsburg Water District,CANNONSBURG WATER DISTRICT,-82.7173,38.4218,8953,SW,C,12,592440.7083,106969.95,0,,,N,-82.7173000377791,38.4218000114981
49,Carlisle Co. Board of Education,CARLISLE CO BOARD OF EDUCATION,-88.933981,36.834,1050,GW,T,1,7199.106336,0,0,,,N,-88.9339810077375,36.8340000207394
50,Carrollton Utilities,CARROLLTON UTILITIES,-85.17225,38.677573,5729,GW,T/C,8,1027191.446,3536823.676,0,0,N,N,-85.1722500025387,38.6775729830137
51,"Caveland Environmental Authority, Inc","CAVELAND ENVIRONMENTAL AUTHORITY, INC.",-85.9601537,37.1314193,4256,SW,C,0,0,0,0,,,N,-85.9601537144132,37.1314193141407
52,Cawood Water-Pathfork,CAWOOD WATER-PATHFORK,-83.222287,36.769796,463,SW,C,0,0,0,0,,,N,-83.2222869866001,36.7697960053166
53,Center Ridge Water District#2,CENTER RIDGE WATER DISTRICT #2,-88.111351,36.561652,377,GW,T,2,1.807474599,0.751892678,0,,,N,-88.1113510320933,36.5616520085349
54,Center Ridge Water District#3,CENTER RIDGE WATER DISTRICT #3,-88.111351,36.561652,208,GW,T,2,1.807474599,0.751892678,0,,,N,-88.1113510320933,36.5616520085349
55,Center Ridge Water District#4,CENTER RIDGE WATER DISTRICT #4,-88.111351,36.561652,140,GW,T,2,1.807474599,0.751892678,0,,,N,-88.1113510320933,36.5616520085349
56,Center Ridge Water system,CENTER RIDGE WATER SYSTEM,-88.111351,36.561652,273,GW,T,2,1.807474599,0.751892678,0,,,N,-88.1113510320933,36.5616520085349
57,Centertown Water System,CENTERTOWN WATER SYSTEM,-87.026291,37.408269,1485,SW,C,10,1817716.96,35851.69431,0,,,N,-87.0262910022705,37.4082690108147
58,Christian County Water District,CHRISTIAN CO WATER DISTRICT,-87.5105252,36.8832086,15841,SW,C,14,13564813.06,0,0,,,N,-87.5105251612293,36.8832085930063
59,City Of South Shore,CITY OF SOUTH SHORE WATER WORKS,-82.9674647,38.724103,6798,GW,T/C,5,331717.098,143.9049222,0,66.67,Y,N,-82.9674646747313,38.7241029714303
60,City of West point,CITY OF WEST POINT,-85.935914,37.848415,975,SW,C,5,10772.47468,0.080413217,0,,,N,-85.9359140239441,37.848414983491
61,Clay City Water System,CLAY CITY WATER SYSTEM,-83.9234966,37.8620572,2153,SW,C,1,198080.2354,0,0,,,N,-83.923496626024,37.8620572211494
62,Clay Water Works,CLAY WATER WORKS,-83.922689,37.861463,1287,SW,C,1,201762.4018,0,0,,,N,-83.9226890405835,37.8614629703797
63,Cloverport Water & Sewer System,CLOVERPORT WATER & SEWER SYSTEM,-86.6327573,37.8370036,1560,GW,C,5,876902.0244,48606.40211,0,,,N,-86.632757312098,37.8370036119326
64,Columbus Water Works,COLUMBUS WATER WORKS,-89.100571,36.759647,300,GW,T,0,0,0,0,0,N,N,-89.1005709720631,36.7596469884341
65,Corinth Water District,CORINTH WATER DISTRICT,-84.565056,38.497411,3139,SW,C,1,8136.767088,0,0,,,N,-84.5650559746256,38.4974110022877
66,Crab Orchard Water Works,CRAB ORCHARD WATER DISTRICT,-84.506342,37.46161,1488,SW,C,0,0,0,0,,,N,-84.506341997824,37.4616100111498
67,Cumberland County Water District,CUMBERLAND CO WATER DISTRICT,-85.3684521,36.8072952,7099,SW,C,2,903.0703897,0,0,,,N,-85.3684521217216,36.8072951725562
68,Cumberland Falls Highway Water District,CUMBERLAND FALLS HIGHWAY WATER DISTRICT,-84.121589,36.91833,8969,SW,C,4,236049.9924,0,0,,,N,-84.1215889802277,36.9183300141569
69,Cumberland Gap NHP/Hensley,CUMBERLAND GAP NHP/HENSLEY,-83.7231,36.6172,25,GW,T,0,0,0,0,,,N,-83.7231000032849,36.6172000256625
70,Cumberland Gap NHP/Pinnacle,CUMBERLAND GAP NHP/PINNACLE,-83.7231,36.6172,50,GW,T,0,0,0,0,,,N,-83.7231000032849,36.6172000256625
71,Cunningham Water District,CUNNINGHAM WATER DISTRICT,-88.645187,36.568772,475,GW,T,1,0,0,0,,,N,-88.6451870169376,36.5687719964523
72,Cypress Cove RV Park LLC,CYPRESS COVE RV PARK LLC,-88.0955,36.55,118,GW,T,0,0,0,0,,,N,-88.0954999894104,36.5499999661333
