__OBJECTID,Sample,Collected,Received,PSWID,Location,Intake /purchase,Type,PFBS,HFPO- DA,PFHpA,PFHxS,ADONA,PFOA,PFOS,PFNA,PFOA+PFOS,Sum of PFAS,Units,LATITUDE,LONGITUDE,Aquifer/Source,River Basin,Aquifer General,Land Use,x,y
1,AQ03028,7/15/2019,7/16/2019,KY0450410,South Shore,"Intake[well(1-12)-near Ohio river), Purchase(KY0450169, KY0680153 and KY0450169)",GW,8.55,0,5.02,11,0,23.2,18.9,0,42.1,66.67,ng/L,38.707778,-82.97,Ohio R Alluvium,,ORA,urban,-82.9699999899577,38.7077780007357
2,AQ03032,7/15/2019,7/16/2019,KY0810275,Maysville Utility Commission,Intake(Ohio River),SW,0,29.7,0,0,0,5.09,1.94,0,7.03,36.73,ng/L,38.645,-83.751389,Ohio R,Ohio,,urban,-83.7513890295602,38.6450000124977
3,AQ03020,7/15/2019,7/16/2019,KY0100011,Ashland Water Works,Intake (Ohio river and Big Sandy river),SW,0,18.3,0,0,0,4.74,1.96,0,6.7,25,ng/L,38.452778,-82.613056,Ohio R,Ohio,,urban,-82.6130560287803,38.4527779954195
4,AQ03022,7/15/2019,7/16/2019,KY0450376,Russell Water Company,"Intake(ohio River), Purchase(KY0100011)",SW,0,13.5,1.2,0,0,5.62,2.01,0,7.63,22.33,ng/L,38.536111,-82.694444,Ohio R,Ohio,,urban,-82.6944440223422,38.5361109721027
5,AQ03422,7/29/2019,7/30/2019,KY0730533,Paducah Water Works,"Intake[Ohio river and well(1-7)], Purchase(KY0790056 and KY0790319)",SW,2.73,4.89,1.12,0,0,4.07,4.54,0,8.61,17.35,ng/L,37.096667,-88.613889,Ohio R,Ohio,,urban,-88.6138889937867,37.0966670046172
6,AQ03402,7/29/2019,7/30/2019,Ky0510188,Henderson Water - North,Intake(Ohio River),SW,0,12.6,0,0,0,1.43,0,0,1.43,14.03,ng/L,37.845,-87.591944,Ohio R,Ohio,,urban,-87.5919439670055,37.8449999861759
7,AQ04027,8/26/2019,8/28/2019,KY1130293,Morganfield Water Works,Intake(Ohio River),SW,1.51,3.57,1.35,0,0,4.5,2.65,0,7.15,13.58,ng/L,37.797778,-87.919444,Ohio R,Ohio,,urban,-87.9194440277783,37.797777984788
8,AQ03212,7/22/2019,7/23/2019,KY0470175,Hardin County WD #2,"Intake[Gaithers Spring TPB, Nolin River TPA, Dyers Spring TPB and Freeman Lake TPC and Well(1-6)], Purchase(KY0470393, KY0560258 and KY0470118)",SW,2.16,0,1.44,1.96,0,1.83,4,1.58,5.83,12.97,ng/L,37.715,-85.87,St. Louis LS,Green,Karst,urban,-85.8699999603088,37.7150000263061
9,AQ02379,6/10/2019,6/11/2019,KY0590220,NKWD FT Thomas WTP,"Intake[Licking River-TPA, Ohio river(TPB and TPC)]",SW,0,11.9,0,0,0,0,0,0,0,11.9,ng/L,39.070278,-84.4375,Ohio R,Ohio,,urban,-84.4374999653516,39.070278011293
10,AQ02853,7/1/2019,7/1/2019,KY0490096,Cynthiana Municipal,Intake(Licking River and South Fork licking river),SW,0,0,0,2.2,0,1.21,8.35,0,9.56,11.76,ng/L,38.376944,-84.303333,S Licking R,Licking,,rural,-84.3033329844072,38.376944021617
