__OBJECTID,AI ID,AI Name,SI County,Not/Com#,SI Decription,Regulatory Desc,Site Status,Closure Option,Closure Dt,Longitude,Latitude,SI Addr Line 1,SI Addr Line 2,Superfund Site Type,Risk Score,x,y
1,,Lockards Creek Roadside & Creek Dump,,,Clay,,,,,-83.6952,37.115,,,,100,-83.6952000373592,37.1150000044642
2,,Billy Branch Roadside Dump,,,Clay,,,,,-83.6617,37.1035,,,,100,-83.6616999739523,37.1035000126757
3,,Paces Creek Roadside Dump,,,Clay,,,,,-83.6617,37.1035,,,,100,-83.6616999739523,37.1035000126757
4,,Clinton County Dump,,,Clinton,,,,,-85.20333333,36.80222222,,,,100,-85.2033333283367,36.8022221998032
5,,Crittenden County Landfill,,,Crittenden,,,,,-88.08972222,37.34233333,,,,100,-88.089722205166,37.3423333505883
6,,City of Marion,,,Crittenden,,,,,-88.09255556,37.3401,,,,100,-88.0925555814036,37.3400999939044
7,,Elf Atochem North America,,,Crittenden,,,,,-88.116111,37.213611,,,,100,-88.1161110251207,37.2136110129055
8,,Ferrill and Stockton,,,Cumberland,,,,,-85.254,36.75841667,,,,100,-85.2540000171601,36.7584166718641
9,,Burkeville Municipal Dump,,,Cumberland,,,,,-85.38088889,36.79605556,,,,100,-85.3808888476726,36.7960555643878
10,,Fairchild Dump,,,Cumberland,,,,,-85.24763611,36.80109167,,,,100,-85.2476360821928,36.8010916859468
11,,Daviess County East LF,,,Daviess,,,,,-86.8601,37.7607,,,,100,-86.8600999797626,37.7607000308954
12,,Frey Bros. Hardware-Medley Rd,,,Daviess,,,,,-87.15755556,37.75841667,,,,100,-87.1575555265319,37.7584166772555
13,,City of Owensboro,,,Daviess,,,,,-87.07333333,37.68044444,,,,100,-87.0733333482486,37.6804444725444
14,,Dryer Salvage Company,,,Daviess,,,,,-86.97827778,37.89180556,,,,100,-86.9782777571334,37.8918055475046
15,,East Daviess County Landfill,,,Daviess,,,,,-86.86011111,37.76066667,,,,100,-86.8601111188721,37.7606666521548
16,,West Daviess County Landfill,,,Daviess,,,,,-87.275,37.67527778,,,,100,-87.2750000091363,37.6752777779505
17,,Addwest Mining Landfill,,,Daviess,,,,,-87.11344444,37.7735,,,,100,-87.1134444731574,37.7735000224202
18,,Reliable Sanitation Treatment System,,,Daviess,,,,,-86.98033333,37.89233333,,,,100,-86.980333371998,37.8923333404302
19,,Randy Terry,,,Daviess,,,,,-87.02572222,37.82708333,,,,100,-87.0257221890326,37.8270833079295
20,,Frey Bros- Worthington Road,,,Daviess,,,,,-87.17644444,37.79594444,,,,100,-87.1764444020111,37.7959444719804
21,,Dugan Best Park Site,,,Daviess,,,,,-87.13791667,37.76461111,,,,100,-87.137916647622,37.7646111338046
22,,Lindsey Sanitation,,,Edmonson,,,,,-86.28675,37.23152778,,,,100,-86.2867499801787,37.23152780098
23,,James Raymer Dump,,,Edmonson,,,,,-86.28519444,37.23697222,,,,100,-86.2851944574327,37.2369721956399
24,,Fitzgeralds and Raymer,,,Edmonson,,,,,-86.19611111,37.1795,,,,100,-86.1961111358209,37.1794999756883
25,,Stice Brothers Landfill,,,Edmonson,,,,,-86.14302778,37.10883333,,,,100,-86.1430277992202,37.1088333558381
26,,Sandy Hook,,,Elliott,,,,,-83.12605556,38.05141667,,,,100,-83.1260555906095,38.0514166534583
27,,Irvine City Dump,,,Estill,,,,,-83.90352778,37.6944,,,,100,-83.9035277959102,37.6944000009929
28,,Travis Wells,,,Estill,,,,,-84.03638889,37.79516667,,,,100,-84.0363888959261,37.7951666882058
29,,Blue Ridge RDF,,,Estill,,,,,-83.83388889,37.73833333,,,,100,-83.8338888679493,37.7383333255133
