__OBJECTID,Water works,Source,PFBS,HFPO- DA,PFHpA,PFHxS,ADONA,PFOA,PFOS,PFNA,Total PFAS,Unit,Latitude,Longitude,x,y
1,Perdue Farms,SW,0,0,0,0,0,0,1.01,0,1.01,ng/L,37.347222,-86.791667,-86.7916670400706,37.3472219923194
2,Cave Run Regional WT Comm,SW,0,0,0,0,0,0,1.11,0,1.11,ng/L,37.987556,-83.476694,-83.4766940073131,37.9875559848488
3,Central City Water & Sewer,SW,0,0,0,0,0,0,1.21,0,1.21,ng/L,37.324167,-87.1175,-87.1175000073391,37.3241669658508
4,Frankfort Plant Board,SW,0,0,0,0,0,0,1.35,0,1.35,ng/L,38.181944,-84.872222,-84.8722220401217,38.1819440138993
5,Jackson Municipal WW,SW,0,0,0,0,0,0,1.35,0,1.35,ng/L,37.547972,-83.377388,-83.377388037431,37.5479720334987
6,KAWC - River Station I,SW,0,0,0,0,0,0,1.35,0,1.35,ng/L,37.904444,-84.378333,-84.3783329681523,37.9044440317853
7,KY-American Richmond  Rd Sta,SW,0,0,0,0,0,0,1.39,0,1.39,ng/L,37.99,-84.436389,-84.4363890188398,37.9899999677544
8,Southern Wtr-Swr Dist,SW,0,0,0,0,0,0,1.58,0,1.58,ng/L,37.610278,-82.726944,-82.7269439913433,37.6102779705182
9,Lancaster Water Works,SW,0,0,0,0,0,0,1.62,0,1.62,ng/L,37.728056,-84.572222,-84.5722220153101,37.7280560296729
10,Winchester Municipal Utilities,SW,0,0,0,0,0,0,1.69,0,1.69,ng/L,37.947222,-84.228333,-84.2283330006622,37.9472219850526
11,Pikeville Water Dept,SW,0,0,0.986,0,0,0,1.19,0,2.176,ng/L,37.475278,-82.52,-82.519999997656,37.4752780283793
12,Falmouth WTP,SW,0,0,1,0,0,0,1.24,0,2.24,ng/L,38.675833,-84.325833,-84.3258329974971,38.6758329853917
13,Barbourville,SW,0,0,0,0,0,1.39,1.03,0,2.42,ng/L,36.864444,-83.881944,-83.8819439745787,36.8644439675728
14,Greenup Water System,SW,0,0,0,0,0,1.28,1.19,0,2.47,ng/L,38.573889,-82.845278,-82.845277985742,38.5738890092278
15,Morehead St University WTP,SW,0,0,0,0,0,1.2,1.51,0,2.71,ng/L,38.184444,-83.43,-83.4300000280022,38.1844439969722
16,Laurel Co WD 2,SW,0,0,0,0,0,1.52,1.19,0,2.71,ng/L,37.003056,-84.083333,-84.0833329662121,37.0030559799072
17,Madisonville  Light & Water,SW,0,0,0.99,0,0,1.32,0,0.99,3.3,ng/L,37.315,-87.478056,-87.4780560044425,37.3150000009182
18,KY-American KY River Sta II,SW,1.53,0,0,0,0,1.1,2.29,0,4.92,ng/L,38.356111,-84.869444,-84.8694440001056,38.3561110067551
19,NKWD Memorial Pkwy WTP,SW,0,5.75,0,0,0,0,0,0,5.75,ng/L,39.07,-84.436389,-84.4363890188398,39.0700000158855
20,Louisville Water Co Crescent Hill,SW,0,5.36,0,0,0,2.75,1.55,0,9.66,ng/L,38.281111,-85.7025,-85.7025000026004,38.2811110276566
21,Georgetown MWSS,SW,2.5,0,0,1.74,0,1.38,5.46,0,11.08,ng/L,38.208611,-84.562222,-84.5622219695673,38.2086109944174
22,Sturgis Water Works,SW,1.35,4.5,1.49,0,0,2.77,1.26,0,11.37,ng/L,37.534722,-88.07,-88.0699999625977,37.5347220068332
23,Cynthiana Municipal,SW,0,0,0,2.2,0,1.21,8.35,0,11.76,ng/L,38.376944,-84.303333,-84.3033329844072,38.376944021617
24,NKWD FT Thomas WTP,SW,0,11.9,0,0,0,0,0,0,11.9,ng/L,39.070278,-84.4375,-84.4374999653516,39.070278011293
25,Hardin County WD #2,SW,2.16,0,1.44,1.96,0,1.83,4,1.58,12.97,ng/L,37.715,-85.87,-85.8699999603088,37.7150000263061
26,Morganfield Water Works,SW,1.51,3.57,1.35,0,0,4.5,2.65,0,13.58,ng/L,37.797778,-87.919444,-87.9194440277783,37.797777984788
27,Henderson Water - North,SW,0,12.6,0,0,0,1.43,0,0,14.03,ng/L,37.845,-87.591944,-87.5919439670055,37.8449999861759
28,Paducah Water Works,SW,2.73,4.89,1.12,0,0,4.07,4.54,0,17.35,ng/L,37.096667,-88.613889,-88.6138889937867,37.0966670046172
29,Russell Water Company,SW,0,13.5,1.2,0,0,5.62,2.01,0,22.33,ng/L,38.536111,-82.694444,-82.6944440223422,38.5361109721027
30,Ashland Water Works,SW,0,18.3,0,0,0,4.74,1.96,0,25,ng/L,38.452778,-82.613056,-82.6130560287803,38.4527779954195
31,Maysville Utility Commission,SW,0,29.7,0,0,0,5.09,1.94,0,36.73,ng/L,38.645,-83.751389,-83.7513890295602,38.6450000124977
