__OBJECTID,4. FACILITY NAME,8. ST,7. COUNTY,12. LATITUDE,13. LONGITUDE,20. INDUSTRY SECTOR,RISK SCORE,x,y
1,FRANZIA SANGER,CA,FRESNO,36.69182,-119.45743,Beverages,50,-119.457430008326,36.6918199720103
2,CONSTELLATION BRANDS US OPS INC  (DBA MISSION BELL WINERY),CA,MADERA,36.931224,-120.103919,Beverages,50,-120.103919041713,36.9312239958906
3,GROWERS ICE CO,CA,MONTEREY,36.652778,-121.627778,Beverages,50,-121.627777970559,36.6527780164286
4,ANHEUSER-BUSCH LLC,CA,LOS ANGELES,34.22132,-118.48044,Beverages,50,-118.480440002129,34.2213199942164
5,E & J GALLO WINERY,CA,MERCED,37.381463,-120.805985,Beverages,50,-120.805984955265,37.3814629808554
6,POM WONDERFUL,CA,FRESNO,36.658356,-119.590414,Beverages,50,-119.590413997873,36.6583560234515
7,ANHEUSER-BUSCH LLC - FAIRFIELD BREWERY,CA,SOLANO,38.23906,-122.09023,Beverages,50,-122.090229960172,38.2390600319188
8,DAIRY FARMERS OF AMERICA INC VENTURA,CA,VENTURA,34.32769,-119.29091,Beverages,50,-119.290910022761,34.3276900172506
9,E & J GALLO WINERY FRESNO,CA,FRESNO,36.757277,-119.698309,Beverages,50,-119.698309029681,36.7572770191084
10,PEPSI BOTTLING GROUP LLC,CA,RIVERSIDE,33.928522,-117.296413,Beverages,50,-117.296413026612,33.9285219966977
11,CUSTOM CALIFORNIA CRAFT BEER LLC DBA GOLDEN ROAD BREWING,CA,LOS ANGELES,34.151207,-118.274759,Beverages,50,-118.274759039731,34.1512070168278
12,MOLSON COORS USA LLC,CA,LOS ANGELES,34.12159,-117.93825,Beverages,50,-117.938250044468,34.1215899938145
13,BRENNTAG PACIFIC INC,CA,CONTRA COSTA,37.92029,-122.3731,Chemical Wholesalers,100,-122.373100010831,37.9202899663465
14,AIRGAS USA LLC,CA,SAN DIEGO,32.83149,-117.13417,Chemical Wholesalers,100,-117.134170009947,32.8314900022516
15,UNIVAR SOLUTIONS USA INC,CA,TULARE,36.350999,-119.373432,Chemical Wholesalers,100,-119.373431959706,36.3509990113909
16,CCI INC,CA,LOS ANGELES,34.01225,-118.20814,Chemical Wholesalers,100,-118.208139978261,34.0122499965052
17,SPECTRUM LABORATORY PRODUCTS INC,CA,LOS ANGELES,33.90006,-118.26857,Chemical Wholesalers,100,-118.26857000675,33.9000600212575
18,AMBER CHEMICAL INC,CA,KERN,35.40125,-119.05207,Chemical Wholesalers,100,-119.052069997438,35.4012500209109
19,UNIVAR SOLUTIONS CARSON CA,CA,LOS ANGELES,33.839651,-118.236627,Chemical Wholesalers,100,-118.236626993225,33.8396509893041
20,ARGO CHEMICAL INC,CA,KERN,35.45613,-119.25726,Chemical Wholesalers,100,-119.257260030533,35.4561300064555
21,COAST SOUTHWEST INC,CA,ORANGE,33.8658,-117.87445,Chemical Wholesalers,100,-117.874449986191,33.8658000161157
22,PACIFIC STAR CHEMICAL LLC DBA NORTHSTAR CHEMICAL,CA,STANISLAUS,37.62339,-120.9111,Chemical Wholesalers,100,-120.911099970764,37.6233899755458
23,NORMAN FOX & CO,CA,LOS ANGELES,34.025022,-117.975686,Chemical Wholesalers,100,-117.975685986461,34.0250219668775
24,AG LAYNE INC,CA,LOS ANGELES,34.14683,-118.27534,Chemical Wholesalers,100,-118.275339980225,34.1468300094937
25,BRENNTAG PACIFIC INC,CA,LOS ANGELES,33.95745,-118.1888,Chemical Wholesalers,100,-118.188799968846,33.9574499948381
26,BRENNTAG PACIFIC INC,CA,FRESNO,36.745063,-119.83556,Chemical Wholesalers,100,-119.835560016827,36.7450629953453
27,GALLADE CHEMICAL INC,CA,ORANGE,33.719108,-117.855786,Chemical Wholesalers,100,-117.855785959028,33.7191080270455
28,VIVION INC,CA,LOS ANGELES,34.00149,-118.21543,Chemical Wholesalers,100,-118.215429986455,34.0014900112811
29,NORMAN FOX & CO,CA,LOS ANGELES,33.99229,-118.21287,Chemical Wholesalers,100,-118.212869967558,33.9922900112944
30,HYDRITE CHEMICAL CO,CA,TULARE,36.34383,-119.37605,Chemical Wholesalers,100,-119.37605000977,36.3438299862884
31,AIRGAS USA LLC,CA,LOS ANGELES,33.92687,-118.22522,Chemical Wholesalers,100,-118.225220006084,33.9268700321852
32,UNIVAR SOLUTIONS FAIRFIELD CA,CA,SOLANO,38.27483,-121.98363,Chemical Wholesalers,100,-121.983630029509,38.274829965311
33,JCI JONES CHEMICALS INC,CA,LOS ANGELES,33.84683,-118.30366,Chemical Wholesalers,100,-118.303659998378,33.8468299725699
34,TITAN TERMINAL &  TRANSPORT,CA,LOS ANGELES,33.95735,-118.18782,Chemical Wholesalers,100,-118.187819996703,33.9573500010217
35,AIRGAS SPECIALTY PRODUCTS INC - HANFORD CA,CA,KINGS,36.278538,-119.651119,Chemical Wholesalers,100,-119.65111900067,36.2785380182105
36,AIRGAS SPECIALTY PRODUCTS-RIVERSIDE CA,CA,RIVERSIDE,33.9575,-117.446663,Chemical Wholesalers,100,-117.446662995246,33.9574999917022
37,PRODUCTION PARTNERS CHEMICAL CO INC,CA,RIVERSIDE,33.86662,-117.53439,Chemical Wholesalers,100,-117.534390040442,33.8666199928607
38,BRENNTAG PACIFIC INC,CA,LOS ANGELES,33.937333,-118.060278,Chemical Wholesalers,100,-118.060278001147,33.9373330012081
39,THATCHER CO OF CALIFORNIA INC,CA,SAN JOAQUIN,37.90999,-121.26234,Chemical Wholesalers,100,-121.262339989213,37.9099899974541
40,AIRGAS USA LLC - SAN JOSE,CA,SANTA CLARA,37.34167,-121.90721,Chemical Wholesalers,100,-121.907209988963,37.3416700139489
41,RHINO LININGS CORP,CA,SAN DIEGO,32.88494,-117.16115,Chemical Wholesalers,100,-117.16115001119,32.8849399818508
42,NALCO COMPANY-BAKERSFIELD,CA,KERN,35.31312,-119.07386,Chemical Wholesalers,100,-119.073859982128,35.3131200213475
43,GCP APPLIED TECHNOLOGIES INC,CA,SAN JOAQUIN,37.9056,-121.27336,Chemical Wholesalers,100,-121.273359982129,37.9056000103187
44,UNIVAR SOLUTIONS USA INC - SAN JOSE,CA,SANTA CLARA,37.387778,-121.915556,Chemical Wholesalers,100,-121.915555966773,37.3877780174841
45,PACIFIC STAR CHEMICAL LLC,CA,LOS ANGELES,33.957279,-118.062438,Chemical Wholesalers,100,-118.062438000248,33.9572789919287
46,VIVION INC,CA,SAN MATEO,37.50698,-122.25254,Chemical Wholesalers,100,-122.252539991158,37.5069800100724
