__OBJECTID,FACILITY NAME,STATE,COUNTY,LATITUDE,LONGITUDE,INDUSTRY SECTOR,INDICATOR SCORE,x,y
1,LYONS EAST,KY,BOONE,38.91999,-84.61891,BEVERAGES,50,-84.6189099759086,38.9199900141558
2,BRENNTAG MID-SOUTH INC,KY,HENDERSON,37.810556,-87.654833,CHEMICAL WHOLESALERS,100,-87.6548330437531,37.8105560140475
3,FRONTIER LOGISTICAL SERVICES LLC,KY,JEFFERSON,38.21003,-85.82865,CHEMICAL WHOLESALERS,100,-85.8286499687916,38.2100299785028
4,UNIVAR USA INC,KY,JEFFERSON,38.15314,-85.75287,CHEMICAL WHOLESALERS,100,-85.7528699778854,38.1531399725481
5,AIRGAS USA LLC,KY,MCCRACKEN,37.05827,-88.57157,CHEMICAL WHOLESALERS,100,-88.5715699895725,37.0582700069173
6,SUPERIOR SOLVENTS & CHEMICALS,KY,JEFFERSON,38.201389,-85.861944,CHEMICAL WHOLESALERS,100,-85.8619439586724,38.2013890146328
7,DOW SILICONES CORP,KY,CARROLL,38.7074,-85.1048,CHEMICALS,100,-85.1047999994306,38.7074000225264
8,DUPONT LOUISVILLE PLANT,KY,JEFFERSON,38.211676,-85.840572,CHEMICALS,100,-85.8405719600848,38.2116760020879
9,ISP CHEMICALS LLC,KY,MARSHALL,37.047737,-88.35866,CHEMICALS,100,-88.3586600145887,37.0477370009867
10,CLARIANT CORP CRITTENDEN DRIVE FACILITY,KY,JEFFERSON,38.17448,-85.74961,CHEMICALS,100,-85.7496099917193,38.174479989623
11,BEST SANITIZERS INC,KY,BOONE,38.87988,-84.60318,CHEMICALS,100,-84.603180026126,38.8798800024813
12,INGEVITY VIRGINIA CORP-WICKLIFFE CARBON PLANT,KY,BALLARD,36.95,-89.066111,CHEMICALS,100,-89.0661109689436,36.9499999878461
13,CELANESE ENGINEERED MATERIALS,KY,BOONE,38.97533,-84.61785,CHEMICALS,100,-84.6178499638733,38.9753299820816
14,A O SMITH CORP PROTECTIVE COATINGS DIV,KY,KENTON,38.97251,-84.60932,CHEMICALS,100,-84.609320011093,38.9725099961047
15,FLINT CPS INKS NA LLC,KY,HARDIN,37.68888,-85.91413,CHEMICALS,100,-85.9141299681358,37.6888799792991
