__OBJECTID,4. FACILITY NAME,8. ST,7. COUNTY,12. LATITUDE,13. LONGITUDE,20. INDUSTRY SECTOR,RISK SCORE,x,y
1,CHESTERMAN CO,IA,WOODBURY,42.42642,-96.36711,Beverages,50,-96.3671099603,42.4264200046988
2,BARTON SOLVENTS INC DES MOINES,IA,POLK,41.645871,-93.587192,Chemical Wholesalers,100,-93.587192016059,41.6458709796054
3,BARTON SOLVENTS INC BETTENDORF,IA,SCOTT,41.52476,-90.48279,Chemical Wholesalers,100,-90.4827900147799,41.5247599684478
4,BARTON SOLVENTS INC COUNCIL BLUFFS,IA,POTTAWATTAMIE,41.25288,-95.87648,Chemical Wholesalers,100,-95.8764799761814,41.2528799674215
5,GREEN PLAINS SHENANDOAH LLC,IA,FREMONT,40.7549,-95.3953,Chemicals,100,-95.3952999993571,40.7548999843062
6,ELANCO ANIMAL HEALTH,IA,LYON,43.44761,-96.50201,Chemicals,100,-96.5020099665163,43.4476099815074
7,QUAD GREENFIELD LLC,IA,ADAIR,41.31693,-94.45434,Chemicals,100,-94.4543399819014,41.3169300126799
8,EQUISTAR CHEMICALS CLINTON PL ANT,IA,CLINTON,41.807,-90.296,Chemicals,100,-90.2959999939864,41.8070000011781
9,CHEMTREAT INC ELDRIDGE IA,IA,SCOTT,41.621889,-90.574806,Chemicals,100,-90.5748059764683,41.6218889739235
10,PB LEINER USA,IA,SCOTT,41.59171,-90.57014,Chemicals,100,-90.570140037051,41.5917099806014
11,LITTLE SIOUX CORN PROCESSORS LLC,IA,CHEROKEE,42.82085,-95.7609,Chemicals,100,-95.7609000367807,42.8208499815123
12,POET BIOREFINING - HANLONTOWN LLC,IA,WORTH,43.29083,-93.39027,Chemicals,100,-93.3902699870074,43.2908300086614
13,NEW HEAVEN CHEMICALS IOWA LLC - SMO MANUFACTURING PLANT,IA,WORTH,43.313016,-93.2045,Chemicals,100,-93.204500003219,43.3130160168749
14,CORN LP,IA,WRIGHT,42.733339,-93.910902,Chemicals,100,-93.9109019948166,42.7333389892349
15,A TO Z DRYING INC,IA,MITCHELL,43.27255,-92.80694,Chemicals,100,-92.8069399741115,43.2725500175822
16,CAMBREX CHARLES CITY INC,IA,FLOYD,43.055278,-92.668278,Chemicals,100,-92.6682780031485,43.0552779957088
17,REG NEWTON LLC,IA,JASPER,41.73291,-93.01942,Chemicals,100,-93.0194200154003,41.7329099737492
18,THE ANDERSONS INC - SERGEANT BLUFF,IA,WOODBURY,42.310651,-96.361449,Chemicals,100,-96.3614489570426,42.3106509697321
19,VALERO RENEWABLE FUELS LLC,IA,WEBSTER,42.531389,-94.293333,Chemicals,100,-94.293332957235,42.5313889768735
20,HYDRITE CHEMICAL CO,IA,BLACK HAWK,42.53772,-92.36801,Chemicals,100,-92.3680100108876,42.5377199827013
21,MAGNAFLUX,IA,CLINTON,41.81082,-90.53017,Chemicals,100,-90.5301700374733,41.8108200184079
22,HELENA INDUSTRIES INC,IA,POLK,41.569231,-93.547025,Chemicals,100,-93.5470250159394,41.5692309804204
23,POET-DSM PROJECT LIBERTY LLC,IA,PALO ALTO,43.089625,-94.646632,Chemicals,100,-94.6466320041471,43.0896249955451
24,DIAMOND PRODUCTS CO,IA,MARSHALL,42.03873,-92.907887,Chemicals,100,-92.9078869863546,42.0387300205623
25,ANDERSONS DENISON ETHANOL LLC,IA,CRAWFORD,41.994167,-95.39,Chemicals,100,-95.3900000290123,41.9941670068028
26,PLYMOUTH ENERGY LLC,IA,PLYMOUTH,42.732855,-96.252702,Chemicals,100,-96.252701963019,42.7328550017315
27,PROCTER & GAMBLE HAIR CARE LLC,IA,JOHNSON,41.638723,-91.501632,Chemicals,100,-91.5016319910752,41.6387229871124
28,TWIN STATE INC,IA,CEDAR,41.60254,-90.93825,Chemicals,100,-90.9382499673785,41.6025400153971
29,VAN DIEST SUPPLY CO,IA,HAMILTON,42.47104,-93.88793,Chemicals,100,-93.8879300068765,42.4710399685822
