__OBJECTID,4. FACILITY NAME,8. ST,7. COUNTY,12. LATITUDE,13. LONGITUDE,20. INDUSTRY SECTOR,RISK SCORE,x,y
1,COCA-COLA NORTHAMERICA,MA,HAMPSHIRE,42.334312,-72.626546,Beverages,50,-72.6265460108314,42.3343120158932
2,BORDEN & REMINGTON CORP,MA,BRISTOL,41.70382,-71.16343,Chemical Wholesalers,100,-71.1634299936869,41.7038199888141
3,POSCO INC,MA,MIDDLESEX,42.604163,-71.162666,Chemical Wholesalers,100,-71.1626659765378,42.6041629746579
4,MONSON COS INC,MA,WORCESTER,42.531335,-71.709679,Chemical Wholesalers,100,-71.7096789889588,42.5313350258942
5,CALLAHAN CHEMICAL CO,MA,NORFOLK,42.11903,-71.2695,Chemical Wholesalers,100,-71.2695000081638,42.1190299959949
6,UNIVAR SOLUTIONS USA INC - TEWKSBURY MA,MA,MIDDLESEX,42.62062,-71.25947,Chemical Wholesalers,100,-71.2594699586905,42.6206199965126
7,UNIVAR USA INC  SALEM BRANCH,MA,ESSEX,42.50944,-70.899444,Chemical Wholesalers,100,-70.8994439676048,42.5094399911229
8,ROBERTS CHEMCIAL CO INC,MA,BRISTOL,41.904074,-71.31342,Chemical Wholesalers,100,-71.3134199898773,41.9040740163031
9,THERMO FISHER SCIENTIFIC CHEMICALS INC,MA,ESSEX,42.75901,-71.12006,Chemical Wholesalers,100,-71.1200599605903,42.759009985118
10,ASTRO CHEMICALS INC,MA,HAMPDEN,42.13875,-72.5425,Chemical Wholesalers,100,-72.5424999921752,42.1387499739068
11,HOUGHTON CHEMICAL CORP,MA,SUFFOLK,42.359689,-71.120022,Chemical Wholesalers,100,-71.1200219618538,42.3596889837409
12,KEY POLYMER,MA,ESSEX,42.68823,-71.17894,Chemicals,100,-71.1789400358879,42.6882299837209
13,SAVOGRAN CO,MA,NORFOLK,42.18639,-71.19858,Chemicals,100,-71.1985799927762,42.1863899829427
14,HYPERION CATALYSIS INC,MA,MIDDLESEX,42.39152,-71.15083,Chemicals,100,-71.1508300438488,42.3915200190158
15,DUBOIS CHEMICALS INDIAN ORCHARD,MA,HAMPDEN,42.16056,-72.50445,Chemicals,100,-72.5044499618543,42.1605600066321
16,CLARIANT PLASTICS & COATINGS USA LLC - HOLDEN FACILITY,MA,WORCESTER,42.34071,-71.844937,Chemicals,100,-71.8449369738157,42.3407099724487
17,UNION SPECIALTIES INC,MA,ESSEX,42.7964,-70.89044,Chemicals,100,-70.890439973849,42.796400011122
18,HOLLAND CO,MA,BERKSHIRE,42.65338,-73.11039,Chemicals,100,-73.1103900314622,42.6533800050599
19,ALBANY MOLECULAR RESEARCH INC,MA,MIDDLESEX,42.48324,-71.19335,Chemicals,100,-71.193350001192,42.4832400241085
20,TEXTILE RUBBER & CHEMICAL CO,MA,BRISTOL,41.70382,-71.16343,Chemicals,100,-71.1634299936869,41.7038199888141
21,HAPCO INC,MA,PLYMOUTH,42.10871,-70.86768,Chemicals,100,-70.867679988316,42.1087099979401
22,JOHNSON MATTHEY PHARMA SERVICES,MA,ESSEX,42.65636,-71.10835,Chemicals,100,-71.1083499717042,42.6563599990573
23,ISP FREETOWN FINE CHEMICALS INC,MA,BRISTOL,41.766111,-71.106944,Chemicals,100,-71.106944018453,41.7661110030801
24,MACE ADHESIVES & COATINGS CO I NC,MA,WORCESTER,42.026938,-71.968378,Chemicals,100,-71.9683779804362,42.0269379979572
25,NYACOL NANOTECHNOLOGIES INC,MA,MIDDLESEX,42.25963,-71.472741,Chemicals,100,-71.4727409665869,42.259630005439
26,CHEMGENES CORP,MA,MIDDLESEX,42.52832,-71.14323,Chemicals,100,-71.1432300270506,42.5283199857485
27,ICP CONSTRUCTION,MA,ESSEX,42.62351,-71.18146,Chemicals,100,-71.181459989923,42.6235100116738
28,RPM WOOD FINISHES GROUP INC,MA,HAMPDEN,42.12555,-72.72583,Chemicals,100,-72.7258299719889,42.1255500148511
29,TRANSENE CO INC,MA,ESSEX,42.57485,-70.97315,Chemicals,100,-70.9731500180146,42.5748499744503
30,SHIELD PACKAGING CO INC,MA,WORCESTER,42.05404,-71.881367,Chemicals,100,-71.8813669823533,42.0540399707511
31,OMNOVA SOLUTIONS,MA,WORCESTER,42.552185,-71.84844,Chemicals,100,-71.8484400440977,42.5521850303281
32,ROHM & HAAS ELECTRONIC MATERIALS LLC,MA,MIDDLESEX,42.331661,-71.591577,Chemicals,100,-71.5915770293979,42.331660967124
33,TOPCOAT,MA,NORFOLK,42.11842,-71.2689,Chemicals,100,-71.2689000233855,42.1184199696179
34,RANDOLPH PRODUCTS CO,MA,HAMPDEN,42.153331,-72.330281,Chemicals,100,-72.330281001308,42.1533310107311
35,LUBRIZOL ADVANCED MATERIALS INC,MA,MIDDLESEX,42.537308,-71.153429,Chemicals,100,-71.1534289597973,42.5373080099176
36,THERMO FISHER SCIENTIFIC,MA,MIDDLESEX,42.482194,-71.264228,Chemicals,100,-71.2642279754244,42.4821940178008
