__OBJECTID,4. FACILITY NAME,8. ST,7. COUNTY,12. LATITUDE,13. LONGITUDE,20. INDUSTRY SECTOR,RISK SCORE,x,y
1,FOOTHILLS BREWING,NC,FORSYTH,36.04595,-80.3226,Beverages,50,-80.3225999892939,36.0459499666578
2,AIRGAS NATIONAL WELDERS,NC,MECKLENBURG,35.228472,-80.927167,Chemical Wholesalers,100,-80.9271669839901,35.2284720333219
3,BRENNTAG MID-SOUTH,NC,MECKLENBURG,35.12582,-80.95812,Chemical Wholesalers,100,-80.9581199642404,35.125819982795
4,CLASSIC DYESTUFFS INC,NC,GUILFORD,35.96313,-79.9781,Chemical Wholesalers,100,-79.9781000304213,35.963129984445
5,COLONIAL CHEMICAL SOLUTIONS INC,NC,MECKLENBURG,35.11502,-80.91098,Chemical Wholesalers,100,-80.910979971391,35.1150200062735
6,UNIVAR SOLUTIONS USA INC,NC,GUILFORD,35.99347,-79.93371,Chemical Wholesalers,100,-79.9337099603196,35.9934699904712
7,BRENNTAG MID-SOUTH,NC,DURHAM,35.979401,-78.880293,Chemical Wholesalers,100,-78.8802929965485,35.979400989337
8,AIRGAS SPECIALTY PRODUCTS-CONCORD NC,NC,CABARRUS,35.33755,-80.61329,Chemical Wholesalers,100,-80.6132899643325,35.3375499790845
9,JCI JONES CHEMICALS INC,NC,MECKLENBURG,35.26643,-80.90994,Chemical Wholesalers,100,-80.9099399917866,35.2664299916826
10,BRAINERD CHEMICAL CO LLC OF NORTH CAROLINA,NC,HARNETT,35.294444,-78.621111,Chemical Wholesalers,100,-78.6211109809428,35.2944440002726
11,NEXEO SOLUTIONS LLC,NC,MECKLENBURG,35.2511,-80.8855,Chemical Wholesalers,100,-80.8854999770092,35.2511000365186
12,STARPET INC,NC,RANDOLPH,35.77262,-79.82243,Chemicals,100,-79.8224299866894,35.7726199887416
13,CHEMTEK INC YANCEYVILLE MANUFACTURING FACILITY,NC,CASWELL,36.423287,-79.333522,Chemicals,100,-79.3335219831389,36.4232870195862
14,LANXESS CORP,NC,GUILFORD,36.04023,-79.77863,Chemicals,100,-79.7786300198979,36.04022999348
15,WILBARA LLC,NC,NEW HANOVER,34.23497,-77.94599,Chemicals,100,-77.9459900343373,34.2349699787326
16,AMERICAN DISTILLATION INC,NC,BRUNSWICK,34.270744,-78.003706,Chemicals,100,-78.0037059828582,34.2707440309236
17,LUBRIZOL,NC,GASTON,35.20132,-81.20716,Chemicals,100,-81.2071600002884,35.2013200361277
18,CHROMA COLOR CORP (FORMERLY PLASTIC COLOR CORP,NC,RANDOLPH,35.673437,-79.865324,Chemicals,100,-79.865324002517,35.6734370304858
19,BAXTER HEALTHCARE CORP,NC,MCDOWELL,35.83411,-82.00156,Chemicals,100,-82.0015599689716,35.8341100232804
20,RUTLAND PLASTIC TECHNOLOGIES INC,NC,MECKLENBURG,35.10143,-80.88469,Chemicals,100,-80.8846899661175,35.1014299760878
21,TRINITY MANUFACTURING INC,NC,RICHMOND,34.918889,-79.673333,Chemicals,100,-79.673333005723,34.9188890074761
22,LANXESS CORP,NC,GASTON,35.30598,-81.20974,Chemicals,100,-81.2097399617844,35.3059799941837
23,HEXION INC-FAYETTEVILLE FACILITY,NC,CUMBERLAND,35.0299,-78.86319,Chemicals,100,-78.8631899718541,35.0299000193329
24,ACTEGA NA INC,NC,LINCOLN,35.4748,-81.21511,Chemicals,100,-81.2151100007213,35.4748000206304
25,CLARIANT CORP-MOUNT HOLLY WEST PLANT,NC,GASTON,35.295833,-81.006667,Chemicals,100,-81.0066669883194,35.2958330342469
26,NOVALENT LTD,NC,GUILFORD,36.12476,-79.74434,Chemicals,100,-79.7443399780301,36.1247599801924
27,MARLIN DBA BRENNTAG MIDSOUTH,NC,CALDWELL,35.88465,-81.56351,Chemicals,100,-81.5635099953999,35.8846500297159
28,INX INTERNATIONAL INK CO,NC,MECKLENBURG,35.13687,-80.98279,Chemicals,100,-80.9827900375621,35.1368699895239
29,VERTELLUS GREENSBORO LLC,NC,GUILFORD,36.05963,-79.82714,Chemicals,100,-79.8271400333871,36.0596299767427
30,IPS STRUCTURAL ADHESIVES INC,NC,DURHAM,35.97239,-78.86697,Chemicals,100,-78.8669699927382,35.9723899754862
31,GRIFOLS THERAPEUTICS LLC,NC,JOHNSTON,35.61961,-78.42068,Chemicals,100,-78.4206800425599,35.6196099773742
32,DYSTAR CAROLINA CHEMICAL CORP,NC,MECKLENBURG,35.24147,-80.98285,Chemicals,100,-80.9828499551915,35.241469974018
33,VENATOR CHEMICALS LLC,NC,CABARRUS,35.33417,-80.6177,Chemicals,100,-80.6176999737253,35.3341699757019
34,INV PERFORMANCE SURFACES LLC,NC,NEW HANOVER,34.31065,-77.98461,Chemicals,100,-77.9846099558745,34.3106500244541
35,CARUS LLC BELMONT SITE,NC,GASTON,35.269069,-81.046299,Chemicals,100,-81.0462990416872,35.269068985542
36,HENKEL US OPERATIONS CORP,NC,ROWAN,35.63367,-80.53335,Chemicals,100,-80.533349965177,35.6336699855426
37,AKZONOBEL COATINGS INC,NC,GUILFORD,35.92387,-80.02214,Chemicals,100,-80.0221400270568,35.9238699896137
38,LANXESS SOLUTIONS US INC,NC,GASTON,35.243611,-81.1875,Chemicals,100,-81.1875000109693,35.2436109671394
39,ENNIS-FLINT INC - HIGH POINT FACILITY,NC,GUILFORD,35.93417,-80.02944,Chemicals,100,-80.0294400065502,35.9341699843685
40,ECOLAB INC KAY CHEMICAL CO,NC,GUILFORD,36.09699,-79.98697,Chemicals,100,-79.9869699955367,36.0969900259291
41,ALDO PRODUCTS,NC,ROWAN,35.61097,-80.55362,Chemicals,100,-80.5536200004055,35.6109700197368
42,GE CO,NC,NEW HANOVER,34.32184,-77.92815,Chemicals,100,-77.9281500317838,34.3218400136646
43,HEXION INC,NC,COLUMBUS,34.32599,-78.19946,Chemicals,100,-78.1994600223774,34.3259899720115
44,CNA HOLDINGS LLC-SHELBY,NC,CLEVELAND,35.208889,-81.528339,Chemicals,100,-81.528338975733,35.2088889758511
45,IGM RESINS USA INC,NC,MECKLENBURG,35.132595,-80.960855,Chemicals,100,-80.9608549749545,35.1325950276389
46,NATIONAL FOAM INC,NC,HARNETT,35.51851,-78.73849,Chemicals,100,-78.738489976363,35.5185099933572
47,GOULSTON TECHNOLOGIES,NC,UNION,34.98793,-80.55847,Chemicals,100,-80.5584700046245,34.9879299983244
48,QUANTUM COATINGS INC,NC,MECKLENBURG,35.12449,-80.92538,Chemicals,100,-80.9253799653954,35.12448997537
49,THE PROCTER & GAMBLE MANUFACTURING CO,NC,GUILFORD,36.07403,-79.91006,Chemicals,100,-79.9100600138346,36.0740299788248
50,APOLLO CHEMICAL,NC,ALAMANCE,36.05238,-79.48512,Chemicals,100,-79.4851199636879,36.0523799641305
51,SHERWIN-WILLIAMS CO,NC,GUILFORD,36.07605,-79.91277,Chemicals,100,-79.9127699615522,36.0760500234226
