__OBJECTID,4. FACILITY NAME,8. ST,7. COUNTY,12. LATITUDE,13. LONGITUDE,20. INDUSTRY SECTOR,RISK SCORE,x,y
1,FRONTIER LOGISTICAL SERVICES LLC,OK,OKLAHOMA,35.473,-97.45915,Chemical Wholesalers,100,-97.4591499897119,35.472999992727
2,UNIVAR USA INC OKLAHOMA CITY,OK,OKLAHOMA,35.431986,-97.653602,Chemical Wholesalers,100,-97.6536020110583,35.4319859737759
3,BRENNTAG SOUTHWEST INC SAND SPRINGS,OK,TULSA,36.133611,-96.103889,Chemical Wholesalers,100,-96.1038890293454,36.1336110135659
4,NALCO CO - WEATHERFORD OTC,OK,CUSTER,35.54266,-98.65158,Chemical Wholesalers,100,-98.6515799860591,35.542659991249
5,NALCO COMPANY-WEATHERFORD,OK,CUSTER,35.54202,-98.6587,Chemical Wholesalers,100,-98.6587000330011,35.5420199742961
6,BRAINERD CHEMICAL CO INC- TUTTLE,OK,GRADY,35.220021,-97.855986,Chemical Wholesalers,100,-97.8559859767003,35.2200209744525
7,BRAINERD CHEMICAL CO INC,OK,TULSA,36.17371,-95.97559,Chemical Wholesalers,100,-95.9755900234999,36.173709994246
8,COASTAL CHEMICAL CO LLC,OK,LOGAN,35.95559,-97.596845,Chemical Wholesalers,100,-97.5968450141031,35.9555899717229
9,BRENNTAG SOUTHWEST INC CATO OSA,OK,ROGERS,36.24391,-95.737777,Chemical Wholesalers,100,-95.7377770420413,36.2439099813112
10,BRENNTAG SOUTHWEST INC NOWA TA,OK,NOWATA,36.720773,-95.63416,Chemical Wholesalers,100,-95.6341599672793,36.7207729819569
11,BIO-CIDE INTERNATIONAL INC,OK,CLEVELAND,35.26927,-97.48143,Chemicals,100,-97.4814300053886,35.269270018181
12,H-I-S PAINT MANUFACTURING CO INC,OK,OKLAHOMA,35.46685,-97.544,Chemicals,100,-97.5440000005473,35.4668499652575
13,GEMINI COATINGS INC,OK,CANADIAN,35.511387,-97.949787,Chemicals,100,-97.9497869806898,35.511386971602
14,WOODWARD IODINE CORP,OK,WOODWARD,36.5025,-99.350833,Chemicals,100,-99.3508330049627,36.5024999958811
15,TERRA NITROGEN LP VERDIGRIS PLANT,OK,ROGERS,36.233516,-95.719098,Chemicals,100,-95.7190980130125,36.2335160046854
16,STERLING SPECIALTY CHEMICALS LLC,OK,TULSA,36.129986,-96.099027,Chemicals,100,-96.0990269877016,36.1299860190316
