__OBJECTID,4. FACILITY NAME,8. ST,7. COUNTY,12. LATITUDE,13. LONGITUDE,20. INDUSTRY SECTOR,RISK SCORE,x,y
1,PARKER HANNIFIN HELAC CYLINDER DIV,WA,KING,47.207693,-121.981708,Machinery,25,-121.981707994127,47.2076929835006
2,KEY TECHNOLOGY INC,WA,WALLA WALLA,46.059055,-118.359586,Machinery,25,-118.359585963864,46.0590549934606
3,COLUMBIA MACHINE INC,WA,CLARK,45.620309,-122.642725,Machinery,25,-122.642725031446,45.6203089946095
4,TEREX WASHINGTON SOUTH CAMPUS,WA,KING,47.665066,-122.089812,Machinery,25,-122.08981197407,47.6650660192034
5,KETTLE RIVER OPERATIONS MILL,WA,FERRY,48.673322,-118.607776,Metal Mining,25,-118.60777601399,48.6733220230565
6,PEND OREILLE MINE,WA,PEND OREILLE,48.884219,-117.354476,Metal Mining,25,-117.354475994328,48.8842190215225
7,YAKIMA BAIT CO/WORDEN'S LURE,WA,YAKIMA,46.34624,-120.1818,Miscellaneous Manufacturing,25,-120.181800012405,46.3462400189587
8,CONNELLY SKIS INC,WA,SNOHOMISH,47.811779,-122.302087,Miscellaneous Manufacturing,25,-122.302087019811,47.8117789707703
9,VAN DOREN SALES INC,WA,DOUGLAS,47.501612,-120.296248,Miscellaneous Manufacturing,25,-120.296247984716,47.5016120082637
10,AMERICAN ROCK PRODUCTS HANFORD,WA,BENTON,46.317034,-119.293478,Nonmetallic Mineral Product,25,-119.293478036664,46.3170339768853
11,CARDINAL CG,WA,THURSTON,46.96928,-122.91526,Nonmetallic Mineral Product,25,-122.915259964761,46.9692800167494
12,ARDAGH GLASS INC,WA,KING,47.551767,-122.337152,Nonmetallic Mineral Product,25,-122.337152038274,47.5517670116201
13,CENTRAL PRE-MIX SULLIVAN ROAD,WA,SPOKANE,47.6752,-117.196,Nonmetallic Mineral Product,25,-117.195999972974,47.6752000033285
14,GLACIER NORTHWEST INC TACOMA PLANT,WA,PIERCE,47.260965,-122.364119,Nonmetallic Mineral Product,25,-122.364119013946,47.2609650168507
15,CENTRAL PRE-MIX CONCRETE PRODUCTS CO,WA,KING,47.41707,-122.23835,Nonmetallic Mineral Product,25,-122.238350023267,47.4170699797476
16,MICA BRICK PLANT,WA,SPOKANE,47.5589,-117.213,Nonmetallic Mineral Product,25,-117.212999960906,47.5589000037227
17,OLDCASTLE PRECAST INC,WA,SPOKANE,47.665505,-117.336304,Nonmetallic Mineral Product,25,-117.336303974445,47.6655049926027
18,CENTRAL PRE-MIX CONCRETE CO CRESTLINE FACILITY,WA,SPOKANE,47.734954,-117.375655,Nonmetallic Mineral Product,25,-117.375655034792,47.7349539928895
19,INTERSTATE CONCRETE & ASPHALT AIRWAY PIT,WA,SPOKANE,47.63291,-117.60395,Nonmetallic Mineral Product,25,-117.603950006489,47.632910016519
20,POULSBO READY MIX PLANT,WA,KITSAP,47.707755,-122.598313,Nonmetallic Mineral Product,25,-122.598313042451,47.7077549850845
21,AMERICAN ROCK PRODUCTS PASCO,WA,FRANKLIN,46.274686,-119.243921,Nonmetallic Mineral Product,25,-119.243921036711,46.2746859845378
22,BREMERTON READY MIX,WA,KITSAP,47.502207,-122.762722,Nonmetallic Mineral Product,25,-122.762721987098,47.5022069845296
