__OBJECTID,4. FACILITY NAME,8. ST,7. COUNTY,12. LATITUDE,13. LONGITUDE,20. INDUSTRY SECTOR,RISK SCORE,x,y
1,BRENNTAG PACIFIC INC,AK,FAIRBANKS NORTH STAR BOROUGH,64.804287,-147.742338,Chemical Wholesalers,100,-147.742337957171,64.8042869915033
2,NRC ALASKA,AK,ANCHORAGE MUNICIPALITY,61.22381,-149.82707,Chemical Wholesalers,100,-149.827070004957,61.223809994395
3,UNIVAR SOLUTIONS ANCHORAGE,AK,ANCHORAGE MUNICIPALITY,61.129407,-149.871824,Chemical Wholesalers,100,-149.871823982581,61.1294070185403
4,HALLIBURTON BAROID MUD PLT,AK,NORTH SLOPE BOROUGH,70.234364,-148.384573,Chemicals,100,-148.384573018529,70.2343640027586
5,HALLIBURTON NORTH SLOPE (PRUDHOE) FIELD CAMP,AK,NORTH SLOPE BOROUGH,70.225761,-148.411195,Chemicals,100,-148.411195041132,70.2257610084566
6,NRC ALASKA LLC,AK,ANCHORAGE MUNICIPALITY,61.22361,-149.82773,Chemicals,100,-149.827729997197,61.2236099904812
7,USIBELLI COAL MINE INC,AK,DENALI BOROUGH,63.917749,-148.680556,Coal Mining,50,-148.680555957053,63.9177490169041
8,GOLDEN VALLEY ELECTRIC ASSOC HEALY POWER PLANT,AK,DENALI BOROUGH,63.855545,-148.948517,Electric Utilities,50,-148.948517028268,63.8555450149409
9,GOLDEN VALLEY ELECTRIC ASSOC NORTH POLE POWER PLANT,AK,FAIRBANKS NORTH STAR BOROUGH,64.735968,-147.348622,Electric Utilities,50,-147.348621998827,64.73596801396
10,AURORA ENERGY LLC,AK,FAIRBANKS NORTH STAR BOROUGH,64.847528,-147.734742,Electric Utilities,50,-147.734741982791,64.8475280072283
11,TRIDENT SEAFOODS NORTH NAKNEK FACILITY,AK,BRISTOL BAY BOROUGH,58.727391,-157.007055,Food,25,-157.007054968096,58.7273909965679
12,UNISEA INC,AK,ALEUTIANS WEST CENSUS ARE,53.878067,-166.551511,Food,25,-166.551511041589,53.8780669961909
13,FORT KNOX MINE,AK,FAIRBANKS NORTH STAR BOROUGH,64.99953,-147.358107,Metal Mining,25,-147.358107040418,64.9995299962963
14,RED DOG OPERATIONS,AK,NORTHWEST ARCTIC BOROUGH,68.061507,-162.855492,Metal Mining,25,-162.855491979087,68.0615069914628
15,HECLA GREENS CREEK MINING CO,AK,JUNEAU CITY AND BOROUGH,58.081802,-134.641206,Metal Mining,25,-134.641205984619,58.081802009486
