__OBJECTID,Water works,Source,PFBS,HFPO- DA,PFHpA,PFHxS,ADONA,PFOA,PFOS,PFNA,Total PFAS,Unit,Latitude,Longitude,x,y
1,Carroll Co WD-Ghent,GW,0,0,0,0,0,1.09,0,0,1.09,ng/L,38.73795395,-85.0602528,-85.0602528139857,38.7379539369391
2,Vanceburg Electric Plant Board,GW,0,0,0,0,0,0,1.4,0,1.4,ng/L,38.59840196,-83.27048733,-83.2704873508109,38.5984019455461
3,Barlow WTP,GW,0,0,0,1.62,0,0,0,0,1.62,ng/L,37.05247092,-89.04769268,-89.0476927208418,37.0524709012261
4,Owensboro Mun Utilites - Cavin Plant,GW,0,0,0,0,0,2.13,0,0,2.13,ng/L,37.792222,-87.0575,-87.0575000023768,37.7922220099763
5,Worthington Mun Water,GW,2.1,0,0,2.8,0,0,0,0,4.9,ng/L,38.549444,-82.753611,-82.7536110195416,38.5494440024305
6,Owensboro Mun Utilities,GW,0,0,0,0,0,5.02,1.85,0,6.87,ng/L,37.776111,-87.096389,-87.0963889693416,37.7761110196114
7,Augusta WTP,GW,1.88,0,0,0,0,4.43,1,0,7.31,ng/L,38.773611,-84.019444,-84.0194439747217,38.773611028775
8,Brandenburg Water Works,GW,1.39,0,0,2.49,0,1.72,3.01,0,8.61,ng/L,37.99923362,-86.16120942,-86.1612094310762,37.9992336225129
9,Louisville Water Co Payne Plant,GW,0,4.42,0,0,0,4.31,1.34,0,10.07,ng/L,38.345833,-85.6375,-85.6374999747666,38.3458329809136
10,South Shore,GW,8.55,0,5.02,11,0,23.2,18.9,0,66.67,ng/L,38.707778,-82.97,-82.9699999899577,38.7077780007357
