AI #,AI Name,AI Type,County,Phys Add Line 1,Line 2,Line 3,City,St,Zip,Lat.,Long.,MAD,Basin,MAILING_ADDRESS_LINE_1,MAILING_ADDRESS_LINE_2,MAILING_ADDRESS_LINE_3,MAILING_ADDRESS_MUNICIPALITY,STATE_CODE,ZIP,SIC_Codes,,,Selected Report Condition(s):,SIC Code = '3471' ,"Title : AI List Report - Plating by SIC code",,,,,,
136697,Tru Tone Finishing Inc,MFG- Fabricated Metal Product Mfg (332),Fayette,135 Baker Ct,,,Lexington,KY,40511,38.076908,-84.516319,Unknown,,135 Baker Ct,,,Lexington,KY,40511,3471,,,,,,,,,,,
11519,Tri-State Plating Inc,SERV-Repair & Maintenance (811),Jefferson,1125 S 12th St,,,Louisville,KY,40210,38.237806,-85.773196,GIS Generated - Aerial Photograph (DOQ),,1125 S 12th St,,,Louisville,KY,40210,3471,,,,,,,,,,,
11540,Central KY Processing,MFG-Other Manufacturing (339),Fayette,2580 Palumbo Dr,,,Lexington,KY,40509,38.013795,-84.440325,GIS Generated - Aerial Photograph (DOQ),,2580 Palumbo Dr,,,Lexington,KY,40509,3471,,,,,,,,,,,
42,YKK (USA) Inc,MFG- Fabricated Metal Product Mfg (332),Anderson,1090 Industry Rd,,,Lawrenceburg,KY,40342,38.034722,-84.883056,Unknown,,1090 Industry Rd,,,Lawrenceburg,KY,40342,"3471,3965",,,,,,,,,,,
1691,Modern Plating Coatings & Finishes,MFG- Fabricated Metal Product Mfg (332),Hardin,204 Ring Rd,,,Elizabethtown,KY,42701,37.680833,-85.916111,Handheld GPS - Not Differentially Corrected,,204 Ring Rd,,,Elizabethtown,KY,42701,"3471,3479,3479",,,,,,,,,,,
1780,Ken Dec Inc,MFG- Transportation Equipment Mfg (336),Hart,1145 S Dixie St,,,Horse Cave,KY,42749,37.165278,-85.919167,GIS Generated - Electronic Topo Map (DRG),,1145 S Dixie St,,,Horse Cave,KY,42749,"3369,3471,3479",,,,,,,,,,,
3253,Fet Engineering Inc,MFG- Transportation Equipment Mfg (336),Nelson,903 Nutter Dr,,,Bardstown,KY,40004,37.830950,-85.471900,GIS Generated - Aerial Photograph (DOQ),,903 Nutter Dr,,,Bardstown,KY,40004,"3465,3471",,,,,,,,,,,
3303,Neo Industries Inc,MFG- Fabricated Metal Product Mfg (332),Ohio,10 Technology Pl,,,Beaver Dam,KY,42320,37.385833,-86.868889,Unknown,,10 Technology Pl,,,Beaver Dam,KY,42320,3471,,,,,,,,,,,
3032,Browns Plating Service Inc,MFG- Fabricated Metal Product Mfg (332),McCracken,1010 Krebs Station Rd,,,Paducah,KY,42003,36.994038,-88.656636,Handheld GPS - Not Differentially Corrected,,1010 Krebs Station Rd,,,Paducah,KY,42003,3471,,,,,,,,,,,
3106,Livermore Industrial Plating Inc,MFG- Fabricated Metal Product Mfg (332),McLean,407 E 7th St,,,Livermore,KY,42352,37.492917,-87.130944,Handheld GPS - Not Differentially Corrected,,407 E 7th St,,,Livermore,KY,42352,3471,,,,,,,,,,,
911,Hausner Hard Chrome Inc,MFG- Fabricated Metal Product Mfg (332),Daviess,3094 Medley Rd,,,Owensboro,KY,42301,37.786753,-87.154657,GIS Generated - Aerial Photograph (DOQ),,3094 Medley Rd,,,Owensboro,KY,42301,3471,,,,,,,,,,,
2896,Curtis Maruyasu America Inc,MFG- Transportation Equipment Mfg (336),Marion,665 Metts Dr,,,Lebanon,KY,40033,37.555000,-85.261944,GIS Generated - Electronic Topo Map (DRG),,665 Metts Dr,,,Lebanon,KY,40033,"3471,3479,3714",,,,,,,,,,,
2755,RANE Precision Die Casting,MFG- Primary Metal Manufacturing (331),Logan,232 Hopkinsville Rd,,,Russellville,KY,42276,36.845357,-86.899106,Address Matching - Building or Street Segment,,232 Hopkinsville Rd,,,Russellville,KY,42276,"3363,3471",,,,,,,,,,,
4090,Huff Integrated Systems LLC,MFG- Fabricated Metal Product Mfg (332),Union,135 Industrial Rd,,,Morganfield,KY,42437,37.696333,-87.850083,Handheld GPS - Not Differentially Corrected,,135 Industrial Rd,,,Morganfield,KY,42437,3471,,,,,,,,,,,
4132,Siegel-Robert Automotive - Bowling Green,MFG- Fabricated Metal Product Mfg (332),Warren,350 Scottys Way,,,Bowling Green,KY,42101,37.029738,-86.335649,GIS Generated - Aerial Photograph (DOQ),,350 Scottys Way,,,Bowling Green,KY,42101,3471,,,,,,,,,,,
3866,SRG Global Inc,MFG- Plastics/Rubber Products Manufacturing (326),Rowan,200 Guardian Ave,,,Morehead  (Rowan),KY,40351,38.209164,-83.480689,GIS Generated - Electronic Topo Map (DRG),,200 Guardian Ave,,,Morehead  (Rowan),KY,40351,"1541,3089,3471",,,,,,,,,,,
3902,Electro Shield Plating Inc,MFG- Fabricated Metal Product Mfg (332),Scott,230 Chambers Ave,,,Georgetown  (Scott),KY,40324,38.212500,-84.552222,Unknown,,230 Chambers Ave,,,Georgetown  (Scott),KY,40324,3471,,,,,,,,,,,
3930,Bekaert Corp,MFG- Fabricated Metal Product Mfg (332),Shelby,2000 Isaac Shelby Dr,,,Shelbyville,KY,40065,38.207083,-85.279139,Handheld GPS - Not Differentially Corrected,,2000 Isaac Shelby Dr,,,Shelbyville,KY,40065,"3315,3398,3471",,,,,,,,,,,
1978,Spalding University Athletics Field,"REC-Arts, Entertainment, & Recreation (71)",Jefferson,916 S 8th St,,,Louisville,KY,40203,38.241291,-85.766400,Handheld GPS - Not Differentially Corrected,,916 S 8th St,,,Louisville,KY,40203,"1794,3451,3471,3599",,,,,,,,,,,
1802,Sunspring America,MFG- Fabricated Metal Product Mfg (332),Henderson,1105 5th St,,,Henderson,KY,42420,37.839533,-87.576099,GIS Generated - Electronic Topo Map (DRG),,1105 5th St,,,Henderson,KY,42420,3471,,,,,,,,,,,
39849,Bluegrass Sandblasting,SERV-Repair & Maintenance (811),Scott,390 Paynes Depot Rd,,,Lexington,KY,40511,38.141710,-84.624020,GIS Generated - Aerial Photograph (DOQ),,390 Paynes Depot Rd,,,Lexington,KY,40511,3471,,,,,,,,,,,
39864,Pioneer Plating LLC,SERV-Repair & Maintenance (811),Scott,793 Lemons Mill Rd,,,Georgetown  (Scott),KY,40324,38.201430,-84.548250,GIS Generated - Aerial Photograph (DOQ),,793 Lemons Mill Rd,,,Georgetown  (Scott),KY,40324,3471,,,,,,,,,,,
39901,Brite Metals Inc,MFG- Fabricated Metal Product Mfg (332),Simpson,Us 31w N,,,Franklin,KY,42134,36.779280,-86.569590,GIS Generated - Aerial Photograph (DOQ),,Us 31w N,,,Franklin,KY,42134,3471,,,,,,,,,,,
40306,Patriot Gauges LLC,MFG-Other Manufacturing (339),Simpson,3 Washington Way,,,Franklin,KY,42135,36.707778,-86.569444,Handheld GPS - Differentially Corrected,,3 Washington Way,,,Franklin,KY,42135,3471,,,,,,,,,,,
40428,R C Components Inc,"MFG- Elec Equip, Appliance, & Component Mfg (335)",Warren,373 Mitch McConnell Dr,,,Bowling Green,KY,42101,36.923889,-86.500000,Handheld GPS - Differentially Corrected,,373 Mitch McConnell Dr,,,Bowling Green,KY,42101,3471,,,,,,,,,,,
37105,Combs Equipment Group LLC,MFG- Fabricated Metal Product Mfg (332),Bell,14 Swasson Rd,,,Middlesboro,KY,40965,36.678333,-83.683333,Handheld GPS - Differentially Corrected,,14 Swasson Rd,,,Middlesboro,KY,40965,"3471,3593",,,,,,,,,,,
40572,Custom Plating & Restoration,SERV-Repair & Maintenance (811),Fayette,100 Mercer Ct,,,Lexington,KY,40511,38.081580,-84.542450,Address Matching - Building or Street Segment,,100 Mercer Ct,,,Lexington,KY,40511,3471,,,,,,,,,,,
39059,Bluegrass Plating Co,MFG- Fabricated Metal Product Mfg (332),Madison,451 N Estill Ave,,,Richmond,KY,40475,37.737778,-84.287778,Unknown,,451 N Estill Ave,,,Richmond,KY,40475,3471,,,,,,,,,,,
48243,Winston Products,MFG-Other Manufacturing (339),Jefferson,2345 Carton Dr,,,Louisville,KY,40299,38.201250,-85.551250,Unknown,,2345 Carton Dr,,,Louisville,KY,40299,3471,,,,,,,,,,,
47819,BAE Systems Land & Armaments LP,GOVT- Federal Agency/Organization (92),Jefferson,163 Rochester Dr,,,Louisville,KY,40214,38.170833,-85.756389,Handheld GPS - Not Differentially Corrected,,163 Rochester Dr,,,Louisville,KY,40214,"3471,3479,3489",,,,,,,,,,,
47766,High Tech Chrome Plating Inc,UNLISTED-Unlisted Agency Interest Type (nec),Hopkins,3175 N Main St,,,Madisonville,KY,42431,37.369705,-87.493167,GIS Generated - Aerial Photograph (DOQ),,3175 N Main St,,,Madisonville,KY,42431,3471,,,,,,,,,,,
49217,Russell Metal Spinning,MFG-Other Manufacturing (339),Taylor,399 Meadow Creek,,,Campbellsville,KY,42718,37.298889,-85.374444,,,399 Meadow Creek,,,Campbellsville,KY,42718,3471,,,,,,,,,,,
71087,Louisville Plating Co,MFG- Fabricated Metal Product Mfg (332),Jefferson,444 Downes Terrace,,,Louisville,KY,40214,38.155195,-85.759222,GIS Generated - Aerial Photograph (DOQ),,444 Downes Terrace,,,Louisville,KY,40214,3471,,,,,,,,,,,
82641,I Brite Corp,MFG- Fabricated Metal Product Mfg (332),McCracken,6100 Benton Rd,,,Paducah,KY,42003,37.004940,-88.530113,GIS Generated - Aerial Photograph (DOQ),,6100 Benton Rd,,,Paducah,KY,42003,3471,,,,,,,,,,,
100570,ACC Enterprise,"MFG- Elec Equip, Appliance, & Component Mfg (335)",McCracken,6845 Old Mayfield Rd,,,Paducah,KY,420039534,36.991180,-88.620900,GIS Generated - Aerial Photograph (DOQ),,6845 Old Mayfield Rd,,,Paducah,KY,420039534,3471,,,,,,,,,,,
102731,KOWA Kentucky Inc,MFG- Fabricated Metal Product Mfg (332),Knox,190 Kowa Rd,,,Corbin (Knox),KY,40701,36.909444,-84.061944,Unknown,,190 Kowa Rd,,,Corbin (Knox),KY,40701,"1541,1611,3471",,,,,,,,,,,
103977,A & S Tool & Gage,MFG- Fabricated Metal Product Mfg (332),Simpson,201 Filter Plant Rd,,,Franklin,KY,42134,36.721439,-86.554697,GIS Generated - Aerial Photograph (DOQ),,201 Filter Plant Rd,,,Franklin,KY,42134,3471,,,,,,,,,,,
103852,J R Horn Company LLC,MFG- Fabricated Metal Product Mfg (332),Mercer,720 Cornishville Rd,,,Harrodsburg,KY,40330,37.770435,-84.857446,GIS Generated - Aerial Photograph (DOQ),,720 Cornishville Rd,,,Harrodsburg,KY,40330,3471,,,,,,,,,,,
Total Number of Records Returned:,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
