AI_number,SW_Permit,County,LF_names,LAT,LONG_,Stage_1_Ra,Closed,Consultant,Deed_Notic,Terminatio,CONSTR_or,Contract_o,Haz_disp,Consulta_1,Address,Name_2,Name3,Permit_Sta,Operator_T,Property_O,BEGIN_DATE,END_DATE,Checked,Used_AC,Perm_AC,Field_Note,SW_Permit_,SW_Permit1,Name_4,Name_5
37009,001-00002,Adair,Adair County Transfer Station,37.0758,-85.3249, , , , , , ,S1C5, , , , , , ,Government, ,0,0,Y, , , ,,,,
71297,001-00001,Adair,Adair County Transfer Station 1,37.1037,-85.3312, , , , , , ,S1C5, , , , , ,Government,Government,Government,49,72,Y,2.5,Unknown, ,,,,
71299,001-00006,Adair,City of Columbia San Lf,37.0725,-85.225, , , , , , ,S1C5, , ,"Reece Ln, Columbia, KY",Pauil Bryant Farm Landfill, ,Leased,Government,Leased,72,81,y, ,20, ,,,,
71301,001-00012,Adair,City of Columbia San LF,37.08636111,-85.3527, , , , , , ,S1C5, , ,"KY 1308, Columbia, KY",Columbia Historic City Dump #2, , , , ,71,78,Y,3, , ,,,,
43745,002-00003,Allen,Allen Co. LF,36.76927778,-86.19594444, , , , , , ,S1C5, , ,"100 Transfer Station Road, Scottsville, KY",Scottsville Landfill & Transfer Station, ,Blue Dot,Government,Government,75,92,Y, , ,Transfer station added after 1992,,,,
75323,002-00002,Allen,J. C. Foster Landfill,36.8562,-86.1215, , , , , , ,S1C5, , ,"Ky 252, Cedar Springs, KY", , ,DEP Other,Private,Private,74,76,Y, , ,Site was being mowed for hay,,,,
75329,002-00001,Allen,Scottsville Landfill,36.74541667,-86.18836111, , , , , , ,S1C5, , ,"S Railroad St, Scottsville, KY",Scottsville City Dump, , ,Government,Government,74,0,Y, , ,Sampled Water at two locations,,,,
51880,003-00001,Anderson,Shields landfill,38.0019,-84.8908,42, ,KENVIRONS, , , ,S1C4,"Drums labeled corrosive/flammable found on site, liquid cyanide waste accepted, surface impoundments used to store plating sludge from Universal Fasterners", ,"Salt River Road, Lawrenceburg, KY", , ,DEP Other,Private,Private,58,80,Y,8.6,58.3,Owned by J.R. Barnett; superfund site; has exposed corrosive/flammable drums on site,,,,
51763,003-A0001,Anderson,Wildcat Road Dump,38.01889,-84.84333333, ,N, , , , , ,SF removed drums previously, , ,Wildcat Road Abandoned Drums, , , , ,0,0,Y, , ,"This site is a relatively small dump site.ÿ Drums were removed by SF but there still remains a small quantity of debris (household garbage, construction debris, etc.) typically associated with roadside dumps.",,,,
43759,004-00001,Ballard,Ballard Co. LF,36.98,-88.9891,47, ,KENVIRONS, , , ,30W,Drums with haz waste removed from LF by SF, ,"Wilson Road, Wickliffe, KY",Ballard Co. Residential Landfill, Wickliffe City Dump,DEP Other,Government,Post-inactivity sale,67,88,Y,27,100,Burn pits on both sides road. 30' x 100' each. Closed early 1970s. There are two sets of coordinates to this site. , ,,,
74215,004-00002,Ballard,Barlow & LaCenter city dump,37.05722222,-89.01508333,0,Y,URS,N/A,N/A,NFA,S1W1,URS recommended NFA, ,"KC Dunn Road, Barlow, KY", , ,No Record,Not Known,Not Determined,0,0,Y, , ,"yard and bean field, no topo expression, poorly defined",,,,
