Little Mount International,,BOONE,37.980436,-85.364502,Airport ,75
Cincinnati Airport,,HENDERSON,39.075935,-84.656125,Airport ,75
Cincinnati/Northern Kentucky International Airport,,JEFFERSON,39.051031,-84.662023,Airport ,75
Blue Grass Airport,,JEFFERSON,38.702531,-84.3963,Airport ,75
Louisville International Airport,,BOONE,38.179702,-85.738829,Airport ,75
Gene Snyder Airport-K62,,KENTON,38.702531,-84.3963,Airport ,75
Stanton Airport,,JEFFERSON,37.847845,-83.846343,Airport ,75
Lebanon-springfield,,JEFFERSON,37.634937,-85.242163,Airport ,75
Cynthiana-Harrison County Airport,,CHRISTIAN,38.3904,-84.2941,Airport ,75
Fleming Mason Airport,,MARSHALL,38.57611,-84.58528,Airport ,75
Georgetown-Scott County Regional Airport,,BOURBON,38.23368,-84.433279,Airport ,75
Lake Cumberland Regional Airport,,JEFFERSON,37.054372,-84.614723,Airport ,75
Mount Sterling-montgomery County,,BOONE,38.057708,-83.980866,Airport ,75
Taylor County Airport-AAS,,BOONE,37.366365,-85.337926,Airport ,75
West Liberty Airport,,BOYD,37.916289,-83.24949,Airport ,75
Cabot Corporation,,KENTON,38.715596,-85.096504,Chemical manufacturing,100
SRC of Lexington,,JEFFERSON,38.047319,-84.462112,Chemical manufacturing,100
Iofina Chemical Inc Kentucky ,,CLARK,39.001881,-84.53398,Chemical manufacturing,100
Battery Properties Inc,,BOONE,36.98333,-85.93278,Chlorinated Solvent Sites,25
KY Leather Co,,JEFFERSON,36.62639,-83.7125,Chlorinated Solvent Sites,50
Braxtons Inc,,HARRISON,39.01667,-84.63583,Chlorinated Solvent Sites,25
Cincinnati Northern KY International Airport (CVG),,JEFFERSON,39.05,-84.6899,Chlorinated Solvent Sites,75
Schneider Electric Square D,,JEFFERSON,38.99889,-84.62667,Chlorinated Solvent Sites,25
Ashland Tannery,,CHRISTIAN,38.47107,-82.62974,Chlorinated Solvent Sites,50
Ashland Tannery,,JEFFERSON,38.47107,-82.62974,Chlorinated Solvent Sites,50
Boyd Service Inc,,MARSHALL,38.39235,-82.65271,Chlorinated Solvent Sites,25
Johnson Fork Dump,,HARDIN,38.40984,-82.64065,landfill,100
Paul Coffey Industrial Park,,DAVIESS,38.39893,-82.72688,Chlorinated Solvent Sites,25
Terrell Dr Dump,,CARROLL,37.63386,-84.76598,Chlorinated Solvent Sites,100
Cloverport Plume Site,,JEFFERSON,37.83667,-86.63278,Chlorinated Solvent Sites,100
Smiths Farm,,MUHLENBERG,38.04,-85.73,Chlorinated Solvent Sites,25
Tri-City Disposal Co,,BOURBON,38.04806,-85.76891,landfill,100
Mattel Inc,,MARSHALL,36.64467,-88.29715,Chlorinated Solvent Sites,25
Pella Corp Murray Operations,,JEFFERSON,36.64393,-88.30065,Chlorinated Solvent Sites,25
Atlas Dry Cleaners Co Inc,,MARSHALL,39.09346,-84.4954,Chlorinated Solvent Sites,50
Continental Cleaners,,MARSHALL,38.98481,-84.3989,Chlorinated Solvent Sites,50
DDA Partnership,,HARDIN,39.11639,-84.46361,Chlorinated Solvent Sites,25
Rohm & Haas Chemicals LLC,,SHELBY,38.98587,-84.36536,Chlorinated Solvent Sites,100
Deena Products Co,,JEFFERSON,36.80123,-89.01329,Chlorinated Solvent Sites,25
Genlyte Thomas Group LLC,,BALLARD,36.8624,-87.5019,Chlorinated Solvent Sites,25
Rockwell International Corp,,KENTON,38.025,-84.235,Chlorinated Solvent Sites,25
ECW Clinton Operation Spill,,JEFFERSON,36.68313,-85.13034,Chlorinated Solvent Sites,75
Concord Custom Cleaners,,KENTON,37.77417,-87.11361,Chlorinated Solvent Sites,50
Green River Disposal Site,,MARSHALL,37.89,-86.97,Chlorinated Solvent Sites,100
Philips Lighting North America Corp,,HOPKINS,37.78607,-87.14774,Chlorinated Solvent Sites,25
Proposed Texas Gas Building,,JEFFERSON,37.77428,-87.11799,Chlorinated Solvent Sites,25
W R Grace & Co,,PULASKI,37.81222,-87.04843,Chlorinated Solvent Sites,100
Carmens Dry Clean-Alterations Center,,BOONE,38.0029,-84.54601,Chlorinated Solvent Sites,50
Clem Wrecking,,JEFFERSON,38.04291,-84.48284,Chlorinated Solvent Sites,25
Concord Custom Cleaners,,JEFFERSON,37.985,-84.4615,Chlorinated Solvent Sites,50
Concord Custom Cleaners,,MARSHALL,37.99611,-84.49639,Chlorinated Solvent Sites,50
Concord Custom Cleaners No 087,,JEFFERSON,37.9796,-84.5512,Chlorinated Solvent Sites,50
Crossroads Concord Custom Cleaners,,SCOTT,37.99072,-84.52118,Chlorinated Solvent Sites,50
Earley Bird Cleaners,,MEADE,38.06468,-84.47037,Chlorinated Solvent Sites,50
Emperors Cleaners,,LEWIS,38.02005,-84.46606,Chlorinated Solvent Sites,50
Hi-Acres Shopping Center,,DAVIESS,38.06277,-84.45303,Chlorinated Solvent Sites,50
Link-Belt Cranes LP LLLP,,DAVIESS,38.01074,-84.43605,Chlorinated Solvent Sites,25
Zandale Cleaners,,JEFFERSON,38.00701,-84.51679,Chlorinated Solvent Sites,50
Sam Hall Septic Service,,CARROLL,37.44617,-82.712,Chlorinated Solvent Sites,100
Schlumberger Technology Corp,,JEFFERSON,37.65155,-82.83261,Chlorinated Solvent Sites,25
