1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FEDERAL FACILITY,19. INDUSTRY SECTOR CODE,20. INDUSTRY SECTOR,21. PRIMARY SIC,22. SIC 2,23. SIC 3,24. SIC 4,25. SIC 5,26. SIC 6,27. PRIMARY NAICS,28. NAICS 2,29. NAICS 3,30. NAICS 4,31. NAICS 5,32. NAICS 6,33. DOC_CTRL_NUM,34. CHEMICAL,35. ELEMENTAL METAL INCLUDED,36. TRI CHEMICAL/COMPOUND ID,37. CAS#,38. SRS ID,39. CLEAN AIR ACT CHEMICAL,40. CLASSIFICATION,41. METAL,42. METAL CATEGORY,43. CARCINOGEN,44. PFAS,45. FORM TYPE,46. UNIT OF MEASURE,47. 5.1 - FUGITIVE AIR,48. 5.2 - STACK AIR,49. 5.3 - WATER,50. 5.4 - UNDERGROUND,51. 5.4.1 - UNDERGROUND CL I,52. 5.4.2 - UNDERGROUND C II-V,53. 5.5.1 - LANDFILLS,54. 5.5.1A - RCRA C LANDFILL,55. 5.5.1B - OTHER LANDFILLS,56. 5.5.2 - LAND TREATMENT,57. 5.5.3 - SURFACE IMPNDMNT,58. 5.5.3A - RCRA SURFACE IM,59. 5.5.3B - OTHER SURFACE I,60. 5.5.4 - OTHER DISPOSAL,61. ON-SITE RELEASE TOTAL,62. 6.1 - POTW - TRNS RLSE,63. 6.1 - POTW - TRNS TRT,64. POTW - TOTAL TRANSFERS,65. 6.2 - M10,66. 6.2 - M41,67. 6.2 - M62,68. 6.2 - M40 METAL,69. 6.2 - M61 METAL,70. 6.2 - M71,71. 6.2 - M81,72. 6.2 - M82,73. 6.2 - M72,74. 6.2 - M63,75. 6.2 - M66,76. 6.2 - M67,77. 6.2 - M64,78. 6.2 - M65,79. 6.2 - M73,80. 6.2 - M79,81. 6.2 - M90,82. 6.2 - M94,83. 6.2 - M99,84. OFF-SITE RELEASE TOTAL,85. 6.2 - M20,86. 6.2 - M24,87. 6.2 - M26,88. 6.2 - M28,89 6.2 - M93,90. OFF-SITE RECYCLED TOTAL,91. 6.2 - M56,92. 6.2 - M92,93. OFF-SITE ENERGY RECOVERY T,94. 6.2 - M40 NON-METAL,95. 6.2 - M50,96. 6.2 - M54,97. 6.2 - M61 NON-METAL,98. 6.2 - M69,99. 6.2 - M95,100. OFF-SITE TREATED TOTAL,101. 6.2 - UNCLASSIFIED,102. 6.2 - TOTAL TRANSFER,103. TOTAL RELEASES,104. 8.1 - RELEASES,105. 8.1A - ON-SITE CONTAINED,106. 8.1B - ON-SITE OTHER ,107. 8.1C - OFF-SITE CONTAIN,108. 8.1D - OFF-SITE OTHER R,109. 8.2 - ENERGY RECOVER ON,110. 8.3 - ENERGY RECOVER OF,111. 8.4 - RECYCLING ON SITE,112. 8.5 - RECYCLING OFF SIT,113. 8.6 - TREATMENT ON SITE,114. 8.7 - TREATMENT OFF SITE,115. PRODUCTION WSTE (8.1-8.7),116. 8.8 - ONE-TIME RELEASE,117. PROD_RATIO_OR_ ACTIVITY,118. 8.9 - PRODUCTION RATIO
2019,40214NTDDF163RO,1.10001E+11,BAE SYSTEMS,163 ROCHESTER DR,LOUISVILLE,JEFFERSON,KY,40214,,,38.171047,-85.759426,NAD83,BAE SYSTEMS INC,6481543,BAE SYSTEMS INC,NO,332,Fabricated Metals,,,,,,,332994,332812,332813,,,,1.31922E+12,Chromium,NO,7440473,7440-47-3,150060,YES,TRI,YES,1,NO,NO,R,Pounds,40,2,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0,364,0,8113,10,0,0,8123,0,0,0,0,0,0,0,0,0,0,0,8487,406,0,0,42,53,311,0,0,0,8123,0,0,8529,,PRODUCTION,0.82
2019,42029SKWLLHIGHW,1.10044E+11,CC METALS & ALLOYS LLC,1542 N MAIN ST,CALVERT CITY,MARSHALL,KY,42029,,,37.05648,-88.35108,NAD83,GEORGIAN AMERICAN ALLOYS INC,NA,GEORGIAN AMERICAN ALLOYS INC,NO,331,Primary Metals,,,,,,,331110,,,,,,1.31922E+12,Phenanthrene,NO,85018,85-01-8,10199,YES,TRI,NO,0,NO,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2019,42029SKWLLHIGHW,1.10044E+11,CC METALS & ALLOYS LLC,1542 N MAIN ST,CALVERT CITY,MARSHALL,KY,42029,,,37.05648,-88.35108,NAD83,GEORGIAN AMERICAN ALLOYS INC,NA,GEORGIAN AMERICAN ALLOYS INC,NO,331,Primary Metals,,,,,,,331110,,,,,,1.31922E+12,Copper,NO,7440508,7440-50-8,150086,NO,TRI,YES,1,NO,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2019,40068SFTYK3700L,1.1E+11,SAFETY-KLEEN SYSTEMS INC,3700 LAGRANGE RD,SMITHFIELD,HENRY,KY,40068,,,38.43196,-85.23487,NAD83,CLEAN HARBORS INC,51060408,CLEAN HARBORS INC,NO,562,Hazardous Waste,,,,,,,562211,,,,,,1.31922E+12,"N,N-Dimethylformamide",NO,68122,68-12-2,4416,YES,TRI,NO,0,NO,NO,R,Pounds,8,42,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120241,0,120241,0,7,0,0,0,0,7,0,120248,50,0,0,50,0,0,0,120241,0,0,377,7,120675,,,
2019,42445BRMNR1475U,1.10001E+11,TREEHOUSE FOODS,1475 US HWY 62 W,PRINCETON,CALDWELL,KY,42445,,,37.108399,-87.91962,NAD83,NA,,NA,NO,311,Food,,,,,,,311821,,,,,,1.31922E+12,Ammonia,NO,7664417,7664-41-7,152389,NO,TRI,NO,0,NO,NO,R,Pounds,0,143685,0,0,0,0,0,0,0,0,0,0,0,0,143685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143685,0,0,143685,0,0,0,0,0,0,0,0,143685,,PRODUCTION,1
2019,42066SBRDFMACED,1.10002E+11,PILGRIM&apos;S PRIDE CORP MAYFIELD KY FEED MILL,1195 MACEDONIA RD HWY 45 S,MAYFIELD,GRAVES,KY,42066,,,36.724167,-88.660556,NAD83,JBS USA FOOD CO,48124978,JBS USA FOOD CO,NO,311,Food,,,,,,,311119,,,,,,1.31922E+12,Zinc compounds,NO,N982,N982,649699,NO,TRI,YES,1,NO,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2019,42241CMMNW4895P,1.10023E+11,COMMONWEALTH AGRI-ENERGY LLC,4895 PEMBROKE RD,HOPKINSVILLE,CHRISTIAN,KY,42240,,,36.81342,-87.41009,NAD83,HOPKINSVILLE ELEVATOR CO,49938913,HOPKINSVILLE ELEVATOR CO,NO,325,Chemicals,,,,,,,325193,,,,,,1.31922E+12,n-Hexane,NO,110543,110-54-3,26740,YES,TRI,NO,0,NO,NO,R,Pounds,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,0,14,0,44,,PRODUCTION,1
2019,42420DBNMT3055O,1.1E+11,AUDUBON METALS LLC,3055 OHIO DR,HENDERSON,HENDERSON,KY,42420,,,37.808762,-87.632861,NAD83,NA,,NA,NO,331,Primary Metals,,,,,,,331314,,,,,,1.31922E+12,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,7647010,7647-01-0,152231,YES,TRI,NO,0,NO,NO,R,Pounds,0,10540,0,0,0,0,0,0,0,0,0,0,0,0,10540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10540,0,0,10540,0,0,0,0,0,0,0,0,10540,,PRODUCTION,0.99
2019,42050SGLCR2320M,1.10001E+11,TOKAI CARBON GE LLC,2320 MYRON CORY DR,HICKMAN,FULTON,KY,42050,,,36.571111,-89.186111,NAD83,NA,,TOKAI CARBON GE HOLDING LLC,NO,335,Electrical Equipment,,,,,,,335991,,,,,,1.31922E+12,"Benzo[g,h,i]perylene",NO,191242,191-24-2,40576,YES,PBT,NO,0,NO,NO,R,Pounds,28,284,4.3,0,0,0,0,0,0,0,0,0,0,0,316.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.4,0,0,0,0,0,0,232.4,0,0,1692,0,0,1692,0,0,0,0,0,0,0,0,0,0,0,1924.4,548.7,0,0,316.3,232.4,0,0,0,0,1692,92073,0,94313.7,,PRODUCTION,0.82
2019,42050SGLCR2320M,1.10001E+11,TOKAI CARBON GE LLC,2320 MYRON CORY DR,HICKMAN,FULTON,KY,42050,,,36.571111,-89.186111,NAD83,NA,,TOKAI CARBON GE HOLDING LLC,NO,335,Electrical Equipment,,,,,,,335991,,,,,,1.31922E+12,Polycyclic aromatic compounds,NO,N590,N590,649749,YES,PBT,NO,0,YES,NO,R,Pounds,257,2568,37,0,0,0,0,0,0,0,0,0,0,0,2862,22.3,0,22.3,0,0,0,0,0,0,0,0,0,0,0,0,2090.6,0,0,0,0,0,0,2112.9,0,0,15216,0,0,15216,0,0,0,0,0,0,0,0,0,0,0,17328.9,4974.9,0,0,2862,2090.6,22.3,0,0,0,15216,828237,0,848427.9,,PRODUCTION,0.82
