SOURCE OF WATER,WATER SYSTEM,PFAS RESULT,POTENTIAL PFAS USER,INDICATOR SCORE,DISTANCE
SWP,OAK GROVE UTILITIES OFFICE,NS,SUPERIOR GRAPHITE CO,50,11.99046973
SW,MONTICELLO WATER & SEWER COMMISSION,NS,JOHN S COOPER POWER STATION,25,11.98412489
SWP,SACRAMENTO WATER WORKS,NS,US ARMY NATIONAL GUARD WENDELL FORD TRAINING CENTER RANGES,25,11.97931065
GW,RIVER RIDGE PARK INC,NS,THUSSENKRUPP ROTHE ERDE USA INC,50,11.97715925
SWP,VINE GROVE WATER DEPARTMENT,NS,FORTERRA CONCRETE INDUSTRIES INC - ELIZABETHTOWN,50,11.97537349
GW,POTTERS RANCH,NS,GE ALSTOM POWER,50,11.97463095
GW,RIVER RIDGE PARK INC,NS,GE ALSTOM POWER,50,11.97136929
SW,NORTHERN KENTUCKY WATER DISTRICT Memorial PKWY WTP,5.75,ARISTECH SURFACES LLC,50,11.96904322
SW,NORTHERN KENTUCKY WATER DISTRICT Memorial PKWY WTP,5.75,ARISTECH SURFACES LLC,50,11.96904322
GW,GALLATIN COUNTY WATER DISTRICT-Plant B,ND,BEST SANITIZERS INC,100,11.96851462
SWP,NORTH SHELBY WATER DISTRICT,NS,STANLEY BLACK & DECKER,50,11.95147394
SWP,US 60 WATER DISTRICT,NS,STANLEY BLACK & DECKER,50,11.95147394
GW,MSU HANCOCK BIO STATION,NS,PELLA CORP - MURRAY OPERATIONS,50,11.9455458
GW,BUZZARD ROCK RESORT AND MARINA,NS,ISP CHEMICALS LLC,100,11.94047065
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,FAURECIA EXHAUST SYSTEMS INC LOUISVILLE PLANT,25,11.93384043
SW,NORTHERN KENTUCKY WATER DISTRICT FT Thomas WTP,11.9,ARISTECH SURFACES LLC,50,11.92985835
SW,NORTHERN KENTUCKY WATER DISTRICT FT Thomas WTP,11.9,ARISTECH SURFACES LLC,50,11.92985835
SW,ASHLAND WATER WORKS,25,VEOLIA WURTLAND PLANT,100,11.92723537
GW,JONATHAN CREEK WATER DISTRICT,NS,CC METALS & ALLOYS LLC,50,11.92721256
SW,WEBSTER CO WATER DISTRICT,NS,AMG ALUMINUM NA LLC,50,11.91773004
GW,MILTON WATER & SEWER DEPARTMENT,ND,PMC ORGANOMETALLIX INC,100,11.91760117
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,PARALLEL PRODUCTS OF KENTUCKY,100,11.90865066
GW,SHAWNEE BAY RESORT,NS,WESTLAKE VINYLS INC,100,11.90523018
GW,POTTERS RANCH,NS,DUKE ENERGY KENTUCKY INC - EAST BEND GENERATING STATION,25,11.89765499
SW,EDMONSON CO WATER DISTRICT,NS,SHILOH - BOWLING GREEN,25,11.88930096
GW,MSU HANCOCK BIO STATION,NS,VANDERBILT CHEMICALS LLC-MURRAY DIV,100,11.88592127
SW,LANCASTER WATER WORKS,1.62,DENYO MANUFACTURING CORP,25,11.88399454
SWP,ELKHORN WATER DISTRICT,NS,TRANE INGERSOLL RAND,25,11.88197704
SWP,PEAKS MILL WATER DISTRICT,NS,TRANE INGERSOLL RAND,25,11.88197704
SW,GREENUP WATER SYSTEM,2.47,FEDERAL CORRECTIONAL INSTITUTION ASHLAND KY,25,11.87842181
GW,OWENSBORO MUNICIPAL UTILITIES,6.87,KIMBERLY-CLARK CORP OWENSBORO OPERATIONS,25,11.87478539
SWP,OAK GROVE UTILITIES OFFICE,NS,EMHART TEKNOLOGIES,50,11.86919403
SWP,NE WOODFORD CO WATER DISTRICT,NS,TRANE INGERSOLL RAND,25,11.86868971
GW,CARROLLTON UTILITIES,ND,ARVIN SANGO INC,25,11.86046678
GWP,WEST CARROLL WATER DISTRICT - CARROLLTON,NS,ARVIN SANGO INC,25,11.86046678
GWP,GRAYSON UTILITY COMMISSION,NS,ARVIN SANGO INC,25,11.86046678
GWP,WEST CARROLL WATER DISTRICT- HENRY CO #2,NS,ARVIN SANGO INC,25,11.86046678
GWP,EMINENCE WATER WORKS,NS,OHIO VALLEY ALUMINUM CO INC,50,11.86009375
GW,RIVER RIDGE PARK INC,NS,SAFRAN LANDING SYSTEMS KENTUCKY LLC,25,11.85721266
GW,CAITLAN & FRIENDS,NS,DANA SEALING MANUFACTURING LLC,50,11.85473286
SW,CENTURY ALUMINUM SEBREE LLC,NS,GIBBS DIE CASTING CORP,50,11.8497779
SWP,FORT CAMPBELL,NS,PLYMOUTH ENGINEERED SHAPES,50,11.84907694
GW,RIVER RIDGE PARK INC,NS,KUSTOM GROUP,100,11.84489123
GW,HENRY COUNTY WATER DISTRICT #2,NS,STEEL TECHNOLOGIES LLC,50,11.84412647
SW,EDMONSON CO WATER DISTRICT,NS,AMERICAN HOWA KENTUCKY INC,25,11.83333351
SW,CENTURY ALUMINUM SEBREE LLC,NS,TEKNOR COLOR COMPANY/TEKNOR PE RFORMANCE ELASTOMERS,100,11.83057169
SWP,GARRARD CO WATER ASSOC INC,NS,INTELLIGRATED SYSTEMS LLC,25,11.82638947
SW,STANFORD WATER WORKS,ND,MEGGITT AIRCRAFT BRAKING SYSTEMS KENTUCKY CORP,25,11.82596498
SWP,FLATWOODS WATER COMPANY,NS,CATLETTSBURG REFINING LLC,75,11.82252467
SWP,DIXON WATER DEPARTMENT,NS,PHOENIX FABRICATORS & ERECTORS INC,50,11.82133799
GW,HENRY COUNTY WATER DISTRICT #2,NS,PMC ORGANOMETALLIX INC,100,11.81849509
SW,EDMONSON CO WATER DISTRICT,NS,CONSTELLIUM-UACJ ABS LLC,50,11.81562623
GW,KELLY ELEMENTARY SCHOOL,NS,FIRESTONE BUILDING PRODUCTS,50,11.80718863
SW,NORTHERN KENTUCKY WATER DISTRICT Memorial PKWY WTP,5.75,CELANESE ENGINEERED MATERIALS,100,11.80152787
SWP,BOONE CO WATER & SEWER DISTRICT,NS,MPLX TERMINALS LLC - COVINGTON KY TERMINAL,75,11.79630089
GW,MONUMENT CHEMICAL KENTUCKY,NS,US ARMY GARRISON FORT KNOX,25,11.79164063
SW,CYNTHIANA MUNICIPAL WATER WORKS,9.56,KENTUCKY SMELTING TECHNOLOGY,50,11.78958366
SW,ASHLAND WATER WORKS,25,PREGIS INNOVATIVE PACKAGING INC,50,11.78854803
GW,KELLY ELEMENTARY SCHOOL,NS,A O SMITH CORP PROTECTIVE COATINGS DIV,100,11.78599982
SW,NORTHERN KENTUCKY WATER DISTRICT Memorial PKWY WTP,5.75,MUBEA INC,50,11.78304872
GW,KELLY ELEMENTARY SCHOOL,NS,CAMCO CHEMICAL CO INC,100,11.76637282
SW,NORTHERN KENTUCKY WATER DISTRICT FT Thomas WTP,11.9,CELANESE ENGINEERED MATERIALS,100,11.7625885
SW,CENTURY ALUMINUM SEBREE LLC,NS,AUDUBON METALS LLC,50,11.76213263
SW,NORTHERN KENTUCKY WATER DISTRICT FT Thomas WTP,11.9,MUBEA INC,50,11.74406318
SW,CYNTHIANA MUNICIPAL WATER WORKS,9.56,CENTRAL MOTOR WHEEL OF AMERICA (DBA CMWA),25,11.73849507
SWP,FORT CAMPBELL,NS,TRAD NA INC,25,11.73827813
SW,KENTUCKY-AMERICAN WATER CO-Richmond,1.39,MCKECHNIE VEHICLE COMPONETS,25,11.73368372
SW,NORTHERN KENTUCKY WATER DISTRICT Memorial PKWY WTP,5.75,M-I LLC SWECO DIV,25,11.72718305
GW,KELLY ELEMENTARY SCHOOL,NS,BENDA-LUTZ CORP,100,11.72179521
GW,CAITLAN & FRIENDS,NS,DENYO MANUFACTURING CORP,25,11.71870044
GW,POTTERS RANCH,NS,MEYER TOOL INC,25,11.71849281
SWP,LEVEE RD WATER ASSOCIATION INC,NS,CTI FOODS,25,11.71609247
GW,BUZZARD ROCK RESORT AND MARINA,NS,ESTRON CHEMICALS INC,100,11.71173366
SWP,BROWNSVILLE MUNICIPAL WATER SYSTEM,NS,BOWLING GREEN METALFORMING,25,11.70651242
SW,CENTURY ALUMINUM SEBREE LLC,NS,SONOCO PRODUCTS,50,11.70082863
SW,NORTHERN KENTUCKY WATER DISTRICT Memorial PKWY WTP,5.75,ROBERT BOSCH AUTOMOTIVE STEERING LLC,25,11.69916061
GW,POTTERS RANCH,NS,OBARA CORP USA,25,11.69046172
SW,NORTHERN KENTUCKY WATER DISTRICT FT Thomas WTP,11.9,M-I LLC SWECO DIV,25,11.68711595
SWP,SO ANDERSON WATER DISTRICT,NS,YOKOHAMA INDUSTRIES AMERICAS INC,25,11.68214387
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,GE APPLIANCES A HAIER CO - APPLIANCE PARK,25,11.6814301
GW,RIVER RIDGE PARK INC,NS,FIRESTONE BUILDING PRODUCTS,50,11.67714745
SWP,MT WASHINGTON WATER COMPANY,NS,RUSSTECH ADMIXTURES INC,100,11.67401193
SW,GREENVILLE UTILITIES COMMISSION,NS,US TVA PARADISE FOSSIL PLANT,25,11.67042595
GW,RIVER RIDGE PARK INC,NS,BOGE RUBBER & PLASTICS USA LLC,50,11.66884793
SWP,BOONE CO WATER & SEWER DISTRICT,NS,BEST SANITIZERS INC,100,11.66835586
GW,RIVER RIDGE PARK INC,NS,A O SMITH CORP PROTECTIVE COATINGS DIV,100,11.66725195
GW,SUNSET HARBOR HILL CAMPGROUND,NS,PELLA CORP - MURRAY OPERATIONS,50,11.66596345
GW,RIVER RIDGE PARK INC,NS,CAMCO CHEMICAL CO INC,100,11.66585329
SWP,REID VILLAGE WATER DISTRICT,NS,CTI FOODS,25,11.66463502
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,AMERICAN BLUEGRASS MARBLE CO INC,50,11.64930586
GW,JONATHAN CREEK WATER DISTRICT,NS,EVONIK CORP,100,11.64919517
SW,NORTHERN KENTUCKY WATER DISTRICT FT Thomas WTP,11.9,ROBERT BOSCH AUTOMOTIVE STEERING LLC,25,11.64824101
GW,SHAWNEE BAY RESORT,NS,CYMETECH CORP,100,11.62965828
GW,SHAWNEE BAY RESORT,NS,LUBRIZOL ADVANCED MATERIALS INC,100,11.62965828
GW,CAITLAN & FRIENDS,NS,INTELLIGRATED SYSTEMS LLC,25,11.62818546
