resource_name,location,creator,creator_type,sources,fairness,format,type,description,geographical_area
PFAS_detected_sites,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/PFAS_detected_sites2019/FeatureServer,Kentucky Department of Environmental Protection,organization,https://eec.ky.gov/Documents%20for%20URLs/PFAS%20Drinking%20Water%20Report%20Final.pdf,FAIR,web,layer,List of the water systems in which PFAS were detected.,Kentucky
PFAS_sampling_and_purchasing_and_intake_detail,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/PFAS_sampling_and_purchasing_data_2019/FeatureServer,Kentucky Department of Environmental Protection,organization,https://eec.ky.gov/Documents%20for%20URLs/PFAS%20Drinking%20Water%20Report%20Final.pdf,FAIR,web,layer,List of all water systems in which PFAS were sampled.,Kentucky
TRI_DATA_IN_KENTUCKY,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/TRI_data_in_KY/FeatureServer,https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-data-files-calendar-years-1987-present,URL,,FAIR,web,layer,"It includes TRI data of Kentucky.
The indicator scores were assigned to all sites considering the magnitude of PFAS produced.",Kentucky
Risk map with landfill,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/KY_Risk_map_with_landfill/FeatureServer,Kentucky Department of Environmental Protection,organization,,FAIR,web,layer,"The data includes all the operation sites, landfill sites, superfund sites and aiports 
The indicator scores were assigned to all sites considering the magnitude of PFAS produced.
Using all sites and indicator scores, Hot-spot map is present in this layer.
Note- location of superfund sites, landfill sites and manufacturing sites were emailed by KDEP staffs 
The location of Kentucky airport were extracted from the website URL:https://www.latlong.net/category/airports-236-19.html",Kentucky
Ohio_River_Marinas_WFL1 - Ohio River,https://services8.arcgis.com/Xcpl3GIMvkCI3oFI/arcgis/rest/services/Ohio_River_Marinas_WFL1/FeatureServer,ArcGIS Online,organization,,FAIR,web,layer,Publicly available layer findable on ArcGIS Online.,Kentucky
Ky_Water_Resources_Polygons_DOW_SWAPP_Zone_2,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/SWAPP_Zone2/FeatureServer,https://kygeoportal.ky.gov/,URL,,FAIR,web,layer,Polygons of water resources in Kentucky.,Kentucky
Ky_Water_Resources_Polygons_DOW_SWAPP_Zone_1,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/SWAPP_Zone1/FeatureServer,https://kygeoportal.ky.gov/,URL,,FAIR,web,layer,Polygons of water resources in Kentucky.,Kentucky
Ky_Water_Resources_Polygons_DOW_SWAPP_Zone_3,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/SWAPP_Zone3_Copy/FeatureServer,https://kygeoportal.ky.gov/,URL,,FAIR,web,layer,Polygons of water resources in Kentucky.,Kentucky
waterIntake,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/Water_Intake_list/FeatureServer,"https://kygeoportal.ky.gov/,Kentucky Department of Environmental Protection","URL,organization",,FAIR,web,layer,It provides information about water systems that has PFAS detection. Data were compared and reported accordingly.,Kentucky
Surfacewater_sampled_and_detected,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/Surface_water_sampled_and_detected/FeatureServer,Kentucky Department of Environmental Protection,organization,https://eec.ky.gov/Documents%20for%20URLs/PFAS%20Drinking%20Water%20Report%20Final.pdf,FAIR,web,layer,List of all water systems with surface water source in which PFAS were detected.,Kentucky
gw_sampled_and_detected,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/gw_sampled_anddetected/FeatureServer,Kentucky Department of Environmental Protection,organization,https://eec.ky.gov/Documents%20for%20URLs/PFAS%20Drinking%20Water%20Report%20Final.pdf,FAIR,web,layer,List of water systems with groundwater source in which PFAS were detected.,Kentucky
groundwater_not_detected,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/groundwater_no_detection/FeatureServer,Kentucky Department of Environmental Protection,organization,https://eec.ky.gov/Documents%20for%20URLs/PFAS%20Drinking%20Water%20Report%20Final.pdf,FAIR,web,layer,List of water systems with groundwater source in which PFAS were not detected.,Kentucky
Surface_water_sampled_and_not_detected,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/Surface_water_sampled_and_notdetected/FeatureServer,Kentucky Department of Environmental Protection,organization,https://eec.ky.gov/Documents%20for%20URLs/PFAS%20Drinking%20Water%20Report%20Final.pdf,FAIR,web,layer,List of all water systems with surface water source in which PFAS were not detected.,Kentucky
WATER_SYSTEMS_IN_KENTUCKY,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/Watersystemin_Kentucky/FeatureServer,https://kygeoportal.ky.gov/,URL,,FAIR,web,layer,Locations of water systems in Kentucky.,Kentucky
water_district,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/water_district_Kentucky/FeatureServer,WRIS,organization,,FAIR,web,layer,Locations of water districts in Kentucky. The data was emailed by WRIS staff,Kentucky
Model_says_NO,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/Model_say_no/FeatureServer,Kelly Pennell Lab,organization,,FAIR,web,layer,Statistical model result that says there are less chances of PFAS detection in water systems. ,Kentucky
hot-spot_map,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/Hotspot_map/FeatureServer,Kentucky Department of Environmental Protection,organization,,FAIR,web,layer,"The data includes all the operation sites, hazardous sites and aiports 
The indicator scores were assigned to all sites considering the magnitude of PFAS produced.
Using all sites and indicator scores, Hot-spot map is present in this layer.
Note- location of superfund sites and manufacturing sites were emailed by KDEP staffs 
The location of Kentucky airport were extracted from the website URL:https://www.latlong.net/category/airports-236-19.html",Kentucky
Model_says_yes,https://services.arcgis.com/vQ8kO5zdqETeirEL/arcgis/rest/services/Model_say_yes/FeatureServer,Kelly Pennell Lab,organization,,FAIR,web,layer,Statistical model result that says there are chances of PFAS detection in water systems.,Kentucky
