__OBJECTID,Sites,Latitude,Longitude,Site Types,Risk score,x,y
1,Cabot Corporation,38.715596,-85.096504,Chemical manufacturing,100,-85.0965039679502,38.7155959953824
2,Src Of Lexington,38.047319,-84.462112,Chemical manufacturing,100,-84.462112007506,38.0473190082068
3,Iofina Chemical Inc Kentucky,39.001881,-84.53398,Chemical manufacturing,100,-84.5339800150129,39.0018809771576
4,Battery Properties Inc,36.98333,-85.93278,Chlorinated Solvent Sites,25,-85.9327799815809,36.983330008075
5,Ky Leather Co,36.62639,-83.7125,Chlorinated Solvent Sites,50,-83.7124999727639,36.6263899897878
6,Braxtons Inc,39.01667,-84.63583,Chlorinated Solvent Sites,25,-84.6358300137796,39.0166700110633
7,Cincinnati Northern Ky International Airport (Cvg),39.05,-84.6899,Chlorinated Solvent Sites,75,-84.6898999700568,39.0500000259857
8,Schneider Electric Square D,38.99889,-84.62667,Chlorinated Solvent Sites,25,-84.6266699826589,38.9988900289623
9,Ashland Tannery,38.47107,-82.62974,Chlorinated Solvent Sites,50,-82.6297399893946,38.4710699914356
10,Ashland Tannery,38.47107,-82.62974,Chlorinated Solvent Sites,50,-82.6297399893946,38.4710699914356
11,Boyd Service Inc,38.39235,-82.65271,Chlorinated Solvent Sites,25,-82.652710001041,38.3923499804
12,Johnson Fork Dump,38.40984,-82.64065,landfill,100,-82.6406500285202,38.4098399859893
13,Paul Coffey Industrial Park,38.39893,-82.72688,Chlorinated Solvent Sites,25,-82.7268800312951,38.3989299968275
14,Terrell Dr Dump,37.63386,-84.76598,Chlorinated Solvent Sites,100,-84.765979998268,37.6338599873595
15,Cloverport Plume Site,37.83667,-86.63278,Chlorinated Solvent Sites,100,-86.6327800394747,37.8366700265704
16,Smiths Farm,38.04,-85.73,Chlorinated Solvent Sites,25,-85.7300000385616,38.0399999759543
17,Tri-City Disposal Co,38.04806,-85.76891,landfill,100,-85.7689100261041,38.0480600322563
18,Mattel Inc,36.64467,-88.29715,Chlorinated Solvent Sites,25,-88.2971500314653,36.6446699764578
19,Pella Corp Murray Operations,36.64393,-88.30065,Chlorinated Solvent Sites,25,-88.3006499576438,36.643930035127
20,Atlas Dry Cleaners Co Inc,39.09346,-84.4954,Chlorinated Solvent Sites,50,-84.4953999786743,39.0934599921865
21,Continental Cleaners,38.98481,-84.3989,Chlorinated Solvent Sites,50,-84.3988999864137,38.9848100075555
22,Dda Partnership,39.11639,-84.46361,Chlorinated Solvent Sites,25,-84.4636100380738,39.1163899968221
23,Rohm & Haas Chemicals Llc,38.98587,-84.36536,Chlorinated Solvent Sites,100,-84.3653600378082,38.9858699764368
